entity_id,legal_name,display_name,country,sector,industry,active_status,active_from,active_to,registry_version,source_or_research_note,entity_type
NVIDIA,NVIDIA Corporation,NVIDIA,US,Information Technology,Semiconductors,archived,2026-01-01,,v1,Issuer and Nasdaq-listed company; direct AI accelerator anchor.,public
AMD,Advanced Micro Devices Inc.,AMD,US,Information Technology,Semiconductors,archived,2026-01-01,,v1,Issuer and Nasdaq-listed company; direct accelerator and CPU/GPU anchor.,public
BROADCOM,Broadcom Inc.,Broadcom,US,Information Technology,Semiconductors,archived,2026-01-01,,v1,Issuer and Nasdaq-listed company; custom silicon and networking anchor.,public
MARVELL,Marvell Technology Inc.,Marvell,US,Information Technology,Semiconductors,archived,2026-01-01,,v1,Issuer and Nasdaq-listed company; data infrastructure and custom silicon read-through.,public
CAMBRICON,Cambricon Technologies Corporation Limited,Cambricon,CN,Information Technology,Semiconductors,archived,2026-01-01,,v1,Shanghai STAR-listed AI semiconductor company; mainland listing retained only with official exchange mapping.,public
SK_HYNIX,SK hynix Inc.,SK Hynix,KR,Information Technology,Semiconductors,archived,2026-01-01,,v1,Korea Exchange-listed HBM and memory anchor.,public
MICRON,Micron Technology Inc.,Micron,US,Information Technology,Semiconductors,archived,2026-01-01,,v1,Issuer and Nasdaq-listed memory anchor.,public
SAMSUNG_ELECTRONICS,Samsung Electronics Co. Ltd.,Samsung Electronics,KR,Information Technology,Semiconductors,archived,2026-01-01,,v1,Korea Exchange-listed memory and foundry anchor.,public
NANYA_TECHNOLOGY,Nanya Technology Corporation,Nanya Technology,TW,Information Technology,Semiconductors,archived,2026-01-01,,v1,TWSE-listed DRAM and specialty-memory company.,public
WINBOND,Winbond Electronics Corporation,Winbond,TW,Information Technology,Semiconductors,archived,2026-01-01,,v1,TWSE-listed specialty-memory company.,public
TSMC,Taiwan Semiconductor Manufacturing Company Limited,TSMC,TW,Information Technology,Semiconductors,archived,2026-01-01,,v1,TWSE ordinary share and NYSE ADR represent one company-level entity.,public
SMIC,Semiconductor Manufacturing International Corporation,SMIC,CN,Information Technology,Semiconductors,archived,2026-01-01,,v1,Shanghai and Hong Kong listed foundry; both listing mappings are retained.,public
HUA_HONG_SEMICONDUCTOR,Hua Hong Semiconductor Limited,Hua Hong Semiconductor,CN,Information Technology,Semiconductors,archived,2026-01-01,,v1,Shanghai and Hong Kong listed foundry; both listing mappings are retained.,public
UMC,United Microelectronics Corporation,UMC,TW,Information Technology,Semiconductors,archived,2026-01-01,,v1,TWSE ordinary share and NYSE ADR represent one company-level entity.,public
GLOBALFOUNDRIES,GLOBALFOUNDRIES Inc.,GlobalFoundries,US,Information Technology,Semiconductors,archived,2026-01-01,,v1,Issuer and Nasdaq-listed specialty foundry.,public
ASE_TECHNOLOGY,ASE Technology Holding Company Limited,ASE Technology,TW,Information Technology,Semiconductor Equipment,archived,2026-01-01,,v1,TWSE ordinary share and NYSE ADR represent one company-level entity.,public
AMKOR,Amkor Technology Inc.,Amkor,US,Information Technology,Semiconductor Equipment,archived,2026-01-01,,v1,Issuer and Nasdaq-listed outsourced semiconductor assembly and test company.,public
BESI,BE Semiconductor Industries N.V.,BESI,NL,Information Technology,Semiconductor Equipment,archived,2026-01-01,,v1,Euronext Amsterdam-listed advanced packaging equipment company.,public
HANMI_SEMICONDUCTOR,Hanmi Semiconductor Co. Ltd.,Hanmi Semiconductor,KR,Information Technology,Semiconductor Equipment,archived,2026-01-01,,v1,Korea Exchange-listed advanced packaging equipment company.,public
JCET,Jiangsu Changjiang Electronics Technology Co. Ltd.,JCET,CN,Information Technology,Semiconductor Equipment,archived,2026-01-01,,v1,Shanghai-listed outsourced semiconductor assembly and test company.,public
ASML,ASML Holding N.V.,ASML,NL,Information Technology,Semiconductor Equipment,archived,2026-01-01,,v1,Euronext Amsterdam ordinary share and Nasdaq ADR represent one company-level entity.,public
APPLIED_MATERIALS,Applied Materials Inc.,Applied Materials,US,Information Technology,Semiconductor Equipment,archived,2026-01-01,,v1,Issuer and Nasdaq-listed semiconductor equipment company.,public
LAM_RESEARCH,Lam Research Corporation,Lam Research,US,Information Technology,Semiconductor Equipment,archived,2026-01-01,,v1,Issuer and Nasdaq-listed semiconductor equipment company.,public
KLA,KLA Corporation,KLA,US,Information Technology,Semiconductor Equipment,archived,2026-01-01,,v1,Issuer and Nasdaq-listed process-control equipment company.,public
ASM_INTERNATIONAL,ASM International N.V.,ASM International,NL,Information Technology,Semiconductor Equipment,archived,2026-01-01,,v1,Euronext Amsterdam-listed wafer-processing equipment company.,public
NAURA,NAURA Technology Group Co. Ltd.,NAURA,CN,Information Technology,Semiconductor Equipment,archived,2026-01-01,,v1,Shenzhen-listed semiconductor equipment company; mainland mapping retained only with official exchange code.,public
UNIMICRON,Unimicron Technology Corporation,Unimicron,TW,Information Technology,Electronic Components,archived,2026-01-01,,v1,TWSE-listed IC substrate and PCB company.,public
NAN_YA_PCB,Nan Ya Printed Circuit Board Corporation,Nan Ya PCB,TW,Information Technology,Electronic Components,archived,2026-01-01,,v1,TWSE-listed IC substrate and PCB company.,public
IBIDEN,Ibiden Co. Ltd.,Ibiden,JP,Information Technology,Electronic Components,archived,2026-01-01,,v1,Tokyo-listed IC substrate company.,public
AJINOMOTO,Ajinomoto Co. Inc.,Ajinomoto,JP,Consumer Staples,Food Ingredients,archived,2026-01-01,,v1,Tokyo-listed ABF substrate-material supplier through Ajinomoto Build-up Film.,public
ARISTA_NETWORKS,Arista Networks Inc.,Arista Networks,US,Information Technology,Communications Equipment,archived,2026-01-01,,v1,Issuer and NYSE-listed data-center networking company.,public
LUMENTUM,Lumentum Holdings Inc.,Lumentum,US,Information Technology,Communications Equipment,archived,2026-01-01,,v1,Issuer and Nasdaq-listed optical components company.,public
COHERENT,Coherent Corp.,Coherent,US,Information Technology,Communications Equipment,archived,2026-01-01,,v1,Issuer and NYSE-listed optical and photonics company.,public
ACCTON,Accton Technology Corporation,Accton,TW,Information Technology,Communications Equipment,archived,2026-01-01,,v1,TWSE-listed data-center networking equipment company.,public
ZTE,ZTE Corporation,ZTE,CN,Information Technology,Communications Equipment,archived,2026-01-01,,v1,Shenzhen and Hong Kong listed communications equipment company.,public
QUANTA,Quanta Computer Incorporated,Quanta,TW,Information Technology,Technology Hardware,archived,2026-01-01,,v1,TWSE-listed server and notebook ODM.,public
