listing_id,entity_id,exchange,native_ticker,canonical_ticker,financial_data_security_id,financial_data_issuer_group_id,mapping_status,mapping_verified_at,mapping_source_url,collection_eligible,listing_role,vendor_tickers,currency,primary_listing,active_from,active_to,listing_status,registry_version,source_url,source_or_research_note
NVDA_US,NVIDIA,NASDAQ,NVDA,NVDA.US,5b2472d26a2e37c42d3d850f321b568be242cf92f996037d287a91f19a04ab6d,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/nvda,true,primary,yfinance:NVDA;nasdaq:NVDA,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/nvda,NASDAQ issuer listing; primary US listing.
AMD_US,AMD,NASDAQ,AMD,AMD.US,853913bd1fb1ad5255af960add960beeffba8c87106f4630a2d61eda3b973f8c,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/amd,true,primary,yfinance:AMD;nasdaq:AMD,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/amd,NASDAQ issuer listing; primary US listing.
AVGO_US,BROADCOM,NASDAQ,AVGO,AVGO.US,d27ed73a4ac60b151de3fb5a3d488e88874a8f39a3c3c8c2c72c520ee4f3612f,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/avgo,true,primary,yfinance:AVGO;nasdaq:AVGO,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/avgo,NASDAQ issuer listing; primary US listing.
MRVL_US,MARVELL,NASDAQ,MRVL,MRVL.US,5f76f8a5fb3c6da296fe8674f66e0a1b7b5d97bcd14d95c1096b4b311274461b,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/mrvl,true,primary,yfinance:MRVL;nasdaq:MRVL,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/mrvl,NASDAQ issuer listing; primary US listing.
688256_CN,CAMBRICON,SSE,688256,688256.SH,8b9d0ef53fa42141d0fc88b2d4233e2b7ac31b8b94fd64d98a66e97e9b8fb292,,verified,2026-08-13,https://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=688256,true,primary,yfinance:688256.SS;akshare:688256,CNY,true,2026-01-01,,archived,v1,https://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=688256,Shanghai STAR Market listing; official code retained as zero-free numeric text.
000660_KR,SK_HYNIX,KRX,000660,000660.KS,afbcf084076a39642840783638468e4f70c066032696e71532002acdb911663b,,verified,2026-08-13,https://www.skhynix.com/ir/UI-FR-IR01/,true,primary,yfinance:000660.KS;krx:000660,KRW,true,2026-01-01,,archived,v1,https://www.skhynix.com/ir/UI-FR-IR01/,Korea Exchange listing; official six-digit code.
MU_US,MICRON,NASDAQ,MU,MU.US,1a7f717b9d6801c6e91be90a242291212e7a3e9df7967e545718504e0d47c4cb,,verified,2026-08-13,https://www.nasdaq.com/market-activity/stocks/mu,true,primary,yfinance:MU;nasdaq:MU,USD,true,2026-01-01,,archived,v1,https://www.nasdaq.com/market-activity/stocks/mu,NASDAQ issuer listing; primary US listing.
005930_KR,SAMSUNG_ELECTRONICS,KRX,005930,005930.KS,6d95b518ec2863cae1c3e4c9f4d42c69e6900cf625acd0c3f83b7195433922c6,,verified,2026-08-13,https://www.samsung.com/global/ir/stock-information/listing-Info/,true,primary,yfinance:005930.KS;krx:005930,KRW,true,2026-01-01,,archived,v1,https://www.samsung.com/global/ir/stock-information/listing-Info/,Korea Exchange listing; official six-digit code.
2408_TW,NANYA_TECHNOLOGY,TWSE,2408,2408.TW,670a99ee6b032fe245300f6f193e38c573522aed3f65f2bb2f9cd35c9183f577,,verified,2026-08-13,https://www.twse.com.tw/en/stock/code/2408,true,primary,yfinance:2408.TW;twse:2408,TWD,true,2026-01-01,,archived,v1,https://www.twse.com.tw/en/stock/code/2408,Taiwan Stock Exchange listing.
2344_TW,WINBOND,TWSE,2344,2344.TW,54cace496f6d2004d9be30d5ca3228cd7935a9152a2c8c52b011a579ee4044a3,,verified,2026-08-13,https://www.twse.com.tw/en/stock/code/2344,true,primary,yfinance:2344.TW;twse:2344,TWD,true,2026-01-01,,archived,v1,https://www.twse.com.tw/en/stock/code/2344,Taiwan Stock Exchange listing.
