dataset_id,quarter_id,quarter_label,microsoft,google,meta,amazon,oracle,apple,source_url,page_url,bundle_url,source_run_id,scraped_at
artificial_analysis_capex_quarterly,2009-q1,Q1-2009,0.225,0.226,0.0,0.355,0.491,0.439,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2009-q2,Q2-2009,0.867,0.139,0.0,0.078,0.382,0.246,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2009-q3,Q3-2009,0.435,0.187,0.0,0.103,0.554,0.459,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2009-q4,Q4-2009,0.376,2.213,0.0,0.137,0.453,0.376,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2010-q1,Q1-2010,0.408,0.239,0.0,0.14,0.612,0.274,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2010-q2,Q2-2010,0.758,0.476,0.0,0.196,0.695,0.595,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2010-q3,Q3-2010,0.564,0.758,0.0,0.315,0.118,0.76,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2010-q4,Q4-2010,0.491,2.545,0.0,0.328,0.121,1.214,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2011-q1,Q1-2011,0.658,0.89,0.153,0.298,0.486,0.624,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2011-q2,Q2-2011,0.642,0.917,0.132,0.433,0.587,0.777,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2011-q3,Q3-2011,0.436,0.68,0.136,0.53,0.16,1.645,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2011-q4,Q4-2011,0.498,0.951,0.185,0.55,0.129,1.321,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2012-q1,Q1-2012,0.749,0.607,0.453,0.386,0.142,1.457,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2012-q2,Q2-2012,0.622,0.774,0.413,0.657,0.217,2.056,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2012-q3,Q3-2012,0.603,0.872,0.171,0.716,0.139,3.461,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2012-q4,Q4-2012,0.93,1.02,0.198,0.202,0.621,2.317,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2013-q1,Q1-2013,0.93,1.203,0.327,0.67,0.116,2.008,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2013-q2,Q2-2013,1.794,1.611,0.268,0.856,0.183,1.885,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2013-q3,Q3-2013,1.231,2.289,0.284,1.039,0.153,1.955,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2013-q4,Q4-2013,1.732,2.255,0.483,0.879,0.126,1.985,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2014-q1,Q1-2014,1.192,2.345,0.363,1.08,0.147,1.382,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
