date,category,avg_price_hkd_per_kg,commodities
2026-07-25,Eggs,1.62,2
2026-07-25,Freshwater fish,34.11,3
2026-07-25,Livestock / Poultry,47.32,3
2026-07-25,Marine fish,92.88,10
2026-07-25,Vegetables,7.74,13
2026-07-26,Eggs,1.62,2
2026-07-26,Freshwater fish,34.11,3
2026-07-26,Livestock / Poultry,47.32,3
2026-07-26,Marine fish,92.88,10
2026-07-26,Vegetables,7.74,13
2026-07-27,Eggs,1.62,2
2026-07-27,Freshwater fish,34.11,3
2026-07-27,Livestock / Poultry,47.32,3
2026-07-27,Marine fish,92.88,10
2026-07-27,Vegetables,7.74,13
2026-07-28,Eggs,1.62,2
2026-07-28,Freshwater fish,34.11,3
2026-07-28,Livestock / Poultry,47.32,3
2026-07-28,Marine fish,92.88,10
2026-07-28,Vegetables,7.74,13
2026-07-29,Eggs,1.62,2
2026-07-29,Freshwater fish,34.11,3
2026-07-29,Livestock / Poultry,47.32,3
2026-07-29,Marine fish,92.88,10
2026-07-29,Vegetables,7.74,13
2026-07-30,Eggs,1.62,2
2026-07-30,Freshwater fish,34.11,3
2026-07-30,Livestock / Poultry,47.32,3
2026-07-30,Marine fish,92.88,10
2026-07-30,Vegetables,7.74,13
2026-07-31,Eggs,1.62,2
2026-07-31,Freshwater fish,34.11,3
2026-07-31,Livestock / Poultry,47.32,3
2026-07-31,Marine fish,92.88,10
2026-07-31,Vegetables,7.74,13
2026-08-01,Eggs,1.62,2
2026-08-01,Freshwater fish,34.11,3
2026-08-01,Livestock / Poultry,47.32,3
2026-08-01,Marine fish,92.88,10
2026-08-01,Vegetables,7.74,13
