dataset_id,ticker,company,snapshot_date,fiscal_year,metric,value_avg_native,value_low_native,value_high_native,native_unit,native_currency,value_avg_usd_at_snapshot,value_low_usd_at_snapshot,value_high_usd_at_snapshot,forecast_count,industry_average_native,forecast_date_min,forecast_date_max,source_quality,revision_history_available,source_url,source_note,retrieved_at
airline_consensus_ashare_akshare,0753.HK / 601111.SH,Air China,2026-08-07,2026,eps,0.01,-0.16,0.13,RMB/share,RMB,,,,13.0,0.75,2026-03-29,2026-07-21,akshare_discovery,False,https://basic.10jqka.com.cn/new/601111/worth.html,"Static public 10jqka 预测年报每股收益 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,0753.HK / 601111.SH,Air China,2026-08-07,2026,net_profit,2.7,-28.65,22.0,RMB 100 million,RMB,0.40014004162705247,-4.2459304417092785,3.26040033918339,13.0,12.79,2026-03-29,2026-07-21,akshare_discovery,False,https://basic.10jqka.com.cn/new/601111/worth.html,"Static public 10jqka 预测年报净利润 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,0753.HK / 601111.SH,Air China,2026-08-07,2027,eps,0.33,0.12,0.61,RMB/share,RMB,,,,12.0,1.11,2026-03-29,2026-07-21,akshare_discovery,False,https://basic.10jqka.com.cn/new/601111/worth.html,"Static public 10jqka 预测年报每股收益 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,0753.HK / 601111.SH,Air China,2026-08-07,2027,net_profit,63.26,20.29,125.0,RMB 100 million,RMB,9.375132975306421,3.0069783128195904,18.525001927178355,12.0,34.52,2026-03-29,2026-07-21,akshare_discovery,False,https://basic.10jqka.com.cn/new/601111/worth.html,"Static public 10jqka 预测年报净利润 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,0753.HK / 601111.SH,Air China,2026-08-07,2028,eps,0.56,0.26,0.82,RMB/share,RMB,,,,12.0,1.4,2026-03-29,2026-07-21,akshare_discovery,False,https://basic.10jqka.com.cn/new/601111/worth.html,"Static public 10jqka 预测年报每股收益 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,0753.HK / 601111.SH,Air China,2026-08-07,2028,net_profit,105.29,44.54,168.04,RMB 100 million,RMB,15.603979623300871,6.600828686692191,24.903530590744403,12.0,51.09,2026-03-29,2026-07-21,akshare_discovery,False,https://basic.10jqka.com.cn/new/601111/worth.html,"Static public 10jqka 预测年报净利润 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,0670.HK / 600115.SH,China Eastern Airlines,2026-08-07,2026,eps,0.02,-0.1,0.08,RMB/share,RMB,,,,12.0,0.75,2026-03-31,2026-08-03,akshare_discovery,False,https://basic.10jqka.com.cn/new/600115/worth.html,"Static public 10jqka 预测年报每股收益 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,0670.HK / 600115.SH,China Eastern Airlines,2026-08-07,2026,net_profit,4.34,-21.21,18.43,RMB 100 million,RMB,0.6431880669116324,-3.1433223270036232,2.7313262841431762,12.0,12.79,2026-03-31,2026-08-03,akshare_discovery,False,https://basic.10jqka.com.cn/new/600115/worth.html,"Static public 10jqka 预测年报净利润 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,0670.HK / 600115.SH,China Eastern Airlines,2026-08-07,2027,eps,0.28,0.15,0.43,RMB/share,RMB,,,,12.0,1.11,2026-03-31,2026-08-03,akshare_discovery,False,https://basic.10jqka.com.cn/new/600115/worth.html,"Static public 10jqka 预测年报每股收益 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,0670.HK / 600115.SH,China Eastern Airlines,2026-08-07,2027,net_profit,60.75,32.63,94.35,RMB 100 million,RMB,9.00315093660868,4.835766503070638,13.98267145463422,12.0,34.52,2026-03-31,2026-08-03,akshare_discovery,False,https://basic.10jqka.com.cn/new/600115/worth.html,"Static public 10jqka 预测年报净利润 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,0670.HK / 600115.SH,China Eastern Airlines,2026-08-07,2028,eps,0.43,0.31,0.62,RMB/share,RMB,,,,11.0,1.4,2026-03-31,2026-08-03,akshare_discovery,False,https://basic.10jqka.com.cn/new/600115/worth.html,"Static public 10jqka 预测年报每股收益 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,0670.HK / 600115.SH,China Eastern Airlines,2026-08-07,2028,net_profit,94.09,68.47,136.68,RMB 100 million,RMB,13.944139450625691,10.147255055631215,20.2559781072539,11.0,51.09,2026-03-31,2026-08-03,akshare_discovery,False,https://basic.10jqka.com.cn/new/600115/worth.html,"Static public 10jqka 预测年报净利润 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,01055.HK / 600029.SH,China Southern Airlines,2026-08-07,2026,eps,0.04,-0.05,0.11,RMB/share,RMB,,,,11.0,0.75,2026-03-31,2026-07-06,akshare_discovery,False,https://basic.10jqka.com.cn/new/600029/worth.html,"Static public 10jqka 预测年报每股收益 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,01055.HK / 600029.SH,China Southern Airlines,2026-08-07,2026,net_profit,7.07,-9.22,19.2,RMB 100 million,RMB,1.0477741090012078,-1.3664041421486754,2.845440296014595,11.0,12.79,2026-03-31,2026-07-06,akshare_discovery,False,https://basic.10jqka.com.cn/new/600029/worth.html,"Static public 10jqka 预测年报净利润 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,01055.HK / 600029.SH,China Southern Airlines,2026-08-07,2027,eps,0.36,0.21,0.54,RMB/share,RMB,,,,11.0,1.11,2026-03-31,2026-07-06,akshare_discovery,False,https://basic.10jqka.com.cn/new/600029/worth.html,"Static public 10jqka 预测年报每股收益 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,01055.HK / 600029.SH,China Southern Airlines,2026-08-07,2027,net_profit,64.67,38.93,97.85,RMB 100 million,RMB,9.584094997044993,5.769426600200426,14.501371508595215,11.0,34.52,2026-03-31,2026-07-06,akshare_discovery,False,https://basic.10jqka.com.cn/new/600029/worth.html,"Static public 10jqka 预测年报净利润 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,01055.HK / 600029.SH,China Southern Airlines,2026-08-07,2028,eps,0.54,0.26,0.76,RMB/share,RMB,,,,11.0,1.4,2026-03-31,2026-07-06,akshare_discovery,False,https://basic.10jqka.com.cn/new/600029/worth.html,"Static public 10jqka 预测年报每股收益 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,01055.HK / 600029.SH,China Southern Airlines,2026-08-07,2028,net_profit,98.66,46.79,137.72,RMB 100 million,RMB,14.62141352108333,6.934278721381401,20.410106123288024,11.0,51.09,2026-03-31,2026-07-06,akshare_discovery,False,https://basic.10jqka.com.cn/new/600029/worth.html,"Static public 10jqka 预测年报净利润 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
airline_consensus_ashare_akshare,600221.SH,Hainan Airlines Holdings,2026-08-07,2026,eps,0.05,0.03,0.06,RMB/share,RMB,,,,3.0,0.75,2026-04-18,2026-04-19,akshare_discovery,False,https://basic.10jqka.com.cn/new/600221/worth.html,"Static public 10jqka 预测年报每股收益 range retrieved through AkShare; net profit is RMB 100 million and USD values use the latest available USD/CNY snapshot (2026-08-07), not a forward FX forecast. No historical revision vintages.",2026-08-07T15:04:50.304209+00:00
