dataset_id,company,ticker,market,event_date,estimate_metric,fiscal_year,public_revision_sample_count,institution_count,current_value_median_native,current_value_low_native,current_value_high_native,prior_value_median_native,median_change_native,median_change_pct,up_revision_count,down_revision_count,flat_revision_count,latest_source_quality,source_scope,source_note,retrieved_at
airline_consensus_revision_pulse,Juneyao Airlines,603885.SH,CN_A,2024-08-15,eps,2026.0,3,3,1.17,1.04,1.265,1.23,-0.1499999999999999,-12.605042016806715,0,3,0,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,Juneyao Airlines,603885.SH,CN_A,2024-08-30,eps,2026.0,1,1,1.069,1.069,1.069,1.265,-0.19599999999999995,-15.494071146245057,0,1,0,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,Spring Airlines,601021.SH,CN_A,2024-08-30,eps,2026.0,1,1,4.32,4.32,4.32,4.32,0.0,0.0,0,0,1,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,Air China,0753.HK / 601111.SH,CN_A,2024-08-31,eps,2026.0,2,2,0.56,0.39,0.73,0.92,-0.36000000000000004,-40.46683046683047,0,2,0,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,China Southern Airlines,01055.HK / 600029.SH,CN_A,2024-08-31,eps,2026.0,2,2,0.46599999999999997,0.31,0.622,0.7585,-0.2925,-40.3288740245262,0,2,0,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,Spring Airlines,601021.SH,CN_A,2024-09-01,eps,2026.0,1,1,4.48,4.48,4.48,4.82,-0.33999999999999986,-7.053941908713689,0,1,0,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,China Southern Airlines,01055.HK / 600029.SH,CN_A,2024-09-04,eps,2026.0,1,1,0.57,0.57,0.57,0.92,-0.3500000000000001,-38.04347826086957,0,1,0,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,Air China,0753.HK / 601111.SH,CN_A,2024-09-05,eps,2026.0,1,1,0.49,0.49,0.49,0.87,-0.38,-43.67816091954023,0,1,0,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,China Southern Airlines,01055.HK / 600029.SH,CN_A,2024-10-30,eps,2026.0,2,2,0.537,0.45,0.624,0.7110000000000001,-0.17400000000000002,-21.714228295819936,1,1,0,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,Juneyao Airlines,603885.SH,CN_A,2024-10-31,eps,2026.0,1,1,1.069,1.069,1.069,1.069,0.0,0.0,0,0,1,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,Spring Airlines,601021.SH,CN_A,2024-10-31,eps,2026.0,1,1,4.48,4.48,4.48,4.84,-0.35999999999999943,-7.438016528925608,0,1,0,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,Air China,0753.HK / 601111.SH,CN_A,2024-11-01,eps,2026.0,2,2,0.61,0.49,0.73,0.835,-0.22499999999999998,-23.936170212765955,0,1,1,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,China Eastern Airlines,0670.HK / 600115.SH,CN_A,2024-11-01,eps,2026.0,1,1,0.34,0.34,0.34,0.58,-0.23999999999999994,-41.37931034482758,0,1,0,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,Juneyao Airlines,603885.SH,CN_A,2024-11-01,eps,2026.0,2,2,1.208,1.16,1.256,1.2645,-0.056499999999999995,-1.5274805540961314,1,1,0,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,Juneyao Airlines,603885.SH,CN_A,2024-11-03,eps,2026.0,1,1,0.34,0.34,0.34,1.256,-0.9159999999999999,-72.92993630573248,0,1,0,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,China Southern Airlines,01055.HK / 600029.SH,CN_A,2024-11-04,eps,2026.0,1,1,0.31,0.31,0.31,0.31,0.0,0.0,0,0,1,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
airline_consensus_revision_pulse,Juneyao Airlines,603885.SH,CN_A,2024-11-04,eps,2026.0,1,1,1.1,1.1,1.1,1.17,-0.06999999999999984,-5.98290598290597,0,1,0,akshare_discovery,dated_public_revision_subset,"Dated aggregation of public same-institution revision observations. No missing dates are forward-filled; this is a revision pulse, not a complete consensus vintage.",2026-08-07T15:33:02.196070+00:00
