company,statement_period,actual_fuel_cost_native_mn,mechanical_fuel_cost_native_mn,implied_hedge_residual_pct,residual_type,note,retrieved_at
Air China,FY2025,50041.444,50041.444,0.0,self_consistency_check,"Intensity calibrated on FY2025 fuel cost; the 1H2025 row is the only independent cross-check available (two points per carrier), so persistence cannot be estimated robustly - the residual is reported, not forecast.  A stable small residual would support shrinking hedge adjustments toward zero.",2026-08-10T20:54:59.240964+00:00
Air China,1H2025,24327.485,24171.05588441098,0.6471753502912181,cross_validated_1h2025,"Intensity calibrated on FY2025 fuel cost; the 1H2025 row is the only independent cross-check available (two points per carrier), so persistence cannot be estimated robustly - the residual is reported, not forecast.  A stable small residual would support shrinking hedge adjustments toward zero.",2026-08-10T20:54:59.240964+00:00
China Eastern Airlines,FY2025,43690.0,43690.00000000001,-2.220446049250313e-14,self_consistency_check,"Intensity calibrated on FY2025 fuel cost; the 1H2025 row is the only independent cross-check available (two points per carrier), so persistence cannot be estimated robustly - the residual is reported, not forecast.  A stable small residual would support shrinking hedge adjustments toward zero.",2026-08-10T20:54:59.240964+00:00
China Eastern Airlines,1H2025,21411.0,21370.521360095383,0.18941344117229253,cross_validated_1h2025,"Intensity calibrated on FY2025 fuel cost; the 1H2025 row is the only independent cross-check available (two points per carrier), so persistence cannot be estimated robustly - the residual is reported, not forecast.  A stable small residual would support shrinking hedge adjustments toward zero.",2026-08-10T20:54:59.240964+00:00
China Southern Airlines,FY2025,52526.0,52526.0,0.0,self_consistency_check,"Intensity calibrated on FY2025 fuel cost; the 1H2025 row is the only independent cross-check available (two points per carrier), so persistence cannot be estimated robustly - the residual is reported, not forecast.  A stable small residual would support shrinking hedge adjustments toward zero.",2026-08-10T20:54:59.240964+00:00
China Southern Airlines,1H2025,25334.0,25135.244637038493,0.7907436980685967,cross_validated_1h2025,"Intensity calibrated on FY2025 fuel cost; the 1H2025 row is the only independent cross-check available (two points per carrier), so persistence cannot be estimated robustly - the residual is reported, not forecast.  A stable small residual would support shrinking hedge adjustments toward zero.",2026-08-10T20:54:59.240964+00:00
Hainan Airlines Holdings,FY2025,20087.05,20087.05,0.0,self_consistency_check,"Intensity calibrated on FY2025 fuel cost; the 1H2025 row is the only independent cross-check available (two points per carrier), so persistence cannot be estimated robustly - the residual is reported, not forecast.  A stable small residual would support shrinking hedge adjustments toward zero.",2026-08-10T20:54:59.240964+00:00
Juneyao Airlines,FY2025,6488.0,6488.0,0.0,self_consistency_check,"Intensity calibrated on FY2025 fuel cost; the 1H2025 row is the only independent cross-check available (two points per carrier), so persistence cannot be estimated robustly - the residual is reported, not forecast.  A stable small residual would support shrinking hedge adjustments toward zero.",2026-08-10T20:54:59.240964+00:00
Juneyao Airlines,1H2025,3272.9999999999995,3247.8406983032082,0.7746470357962831,cross_validated_1h2025,"Intensity calibrated on FY2025 fuel cost; the 1H2025 row is the only independent cross-check available (two points per carrier), so persistence cannot be estimated robustly - the residual is reported, not forecast.  A stable small residual would support shrinking hedge adjustments toward zero.",2026-08-10T20:54:59.240964+00:00
Spring Airlines,FY2025,6228.636517,6228.636517,0.0,self_consistency_check,"Intensity calibrated on FY2025 fuel cost; the 1H2025 row is the only independent cross-check available (two points per carrier), so persistence cannot be estimated robustly - the residual is reported, not forecast.  A stable small residual would support shrinking hedge adjustments toward zero.",2026-08-10T20:54:59.240964+00:00
Spring Airlines,1H2025,2980.0,2956.2999115316456,0.8016807894188016,cross_validated_1h2025,"Intensity calibrated on FY2025 fuel cost; the 1H2025 row is the only independent cross-check available (two points per carrier), so persistence cannot be estimated robustly - the residual is reported, not forecast.  A stable small residual would support shrinking hedge adjustments toward zero.",2026-08-10T20:54:59.240964+00:00
