period,target_year,n_carriers,rank_ic_base_decomposition,rank_ic_dynamic_shrinkage,rank_ic_residual_yield,rank_ic_recovery_overlay,retrieved_at
FY,2021,6,1.0,0.8857142857142858,0.942857142857143,0.942857142857143,2026-08-10T18:26:21.924150+00:00
FY,2022,6,0.8857142857142858,0.8857142857142858,0.8857142857142858,0.8857142857142858,2026-08-10T18:26:21.924150+00:00
FY,2023,6,0.8857142857142858,0.8857142857142858,0.8857142857142858,0.8857142857142858,2026-08-10T18:26:21.924150+00:00
FY,2024,6,0.8285714285714287,0.7714285714285715,0.6,0.6,2026-08-10T18:26:21.924150+00:00
FY,2025,6,0.942857142857143,0.942857142857143,0.942857142857143,0.942857142857143,2026-08-10T18:26:21.924150+00:00
H1,2021,6,0.942857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,2026-08-10T18:26:21.924150+00:00
H1,2022,6,0.8857142857142858,0.6571428571428573,0.6571428571428573,0.6571428571428573,2026-08-10T18:26:21.924150+00:00
H1,2023,6,0.4285714285714286,0.5428571428571429,0.5428571428571429,0.5428571428571429,2026-08-10T18:26:21.924150+00:00
H1,2024,6,0.942857142857143,0.8285714285714287,0.8285714285714287,0.8285714285714287,2026-08-10T18:26:21.924150+00:00
H1,2025,6,0.8857142857142858,0.8857142857142858,0.7714285714285715,0.7714285714285715,2026-08-10T18:26:21.924150+00:00
H2,2021,6,0.7714285714285715,0.7142857142857143,0.7714285714285715,0.7714285714285715,2026-08-10T18:26:21.924150+00:00
H2,2022,6,0.942857142857143,0.7714285714285715,0.7714285714285715,0.7714285714285715,2026-08-10T18:26:21.924150+00:00
H2,2023,6,0.8285714285714287,0.8285714285714287,0.8285714285714287,0.8285714285714287,2026-08-10T18:26:21.924150+00:00
H2,2024,6,0.8285714285714287,0.8285714285714287,0.8285714285714287,0.8285714285714287,2026-08-10T18:26:21.924150+00:00
H2,2025,6,0.942857142857143,1.0,1.0,1.0,2026-08-10T18:26:21.924150+00:00
