dataset_id,company,ticker,statement_period,target_year,row_status,kpi_input_layer,model_name,kpi_information_cutoff,target_actual_source_quality,target_actual_pit_status,target_financial_announcement_date,source_quality,source_note,retrieved_at,prior_h1_ask_mn,current_h1_ask_mn,prior_h1_rpk_mn,current_h1_rpk_mn,prior_h1_load_factor_pct,current_h1_load_factor_pct,ask_growth_pct,rpk_growth_pct,load_factor_change_pp,rpk_minus_ask_growth_gap_pp,kpi_latest_announcement_date,kpi_pre_report_cutoff_pass,kpi_complete,prior_h1_kpi_imputation_used,current_h1_kpi_imputation_used,kpi_imputation_used,kpi_future_imputation_used,kpi_pit_safe_for_h1_event,prior_h1_revenue_native_mn,prior_h1_operating_cost_native_mn,prior_h1_attributable_profit_native_mn,target_h1_revenue_native_mn,target_h1_operating_cost_native_mn,target_h1_attributable_profit_native_mn,flat_ask_revenue_pred_native_mn,flat_rpk_revenue_pred_native_mn,flat_ask_cost_pred_native_mn,prior_h1_net_to_operating_conversion,flat_ask_operating_profit_pred_native_mn,flat_ask_profit_pred_native_mn,flat_ask_profit_pred_status,revenue_per_ask_actual_growth_pct,cost_per_ask_actual_growth_pct,target_financial_source_quality,target_financial_source_path,prior_financial_source_quality,prior_financial_pit_status,prior_financial_source_path,revenue_error_flat_ask_pct,revenue_error_flat_rpk_pct,operating_cost_error_flat_ask_pct,profit_error_flat_ask_native_mn,profit_direction_correct_flat_ask,actual_revenue_growth_vs_prior_h1_pct,actual_cost_growth_vs_prior_h1_pct,current_financial_fx_native_per_usd,analyst_yield_mix_growth_pct,analyst_fuel_shock_pct,analyst_nonfuel_cost_per_ask_growth_pct,analyst_h1_revenue_pred_native_mn,analyst_h1_fuel_cost_pred_native_mn,analyst_h1_nonfuel_cost_pred_native_mn,analyst_h1_cost_pred_native_mn,analyst_h1_operating_profit_pred_native_mn,analyst_h1_profit_pred_native_mn,analyst_h1_nowcast_status,prior_h1_ask_months_available,current_h1_ask_months_available,prior_h1_rpk_months_available,current_h1_rpk_months_available
airline_h1_kpi_backtest,Air China,601111.SH,1H2017,2017,historical_evaluated,raw_observed,flat_unit_economics_ask,2017-08-01,akshare_discovery_historical,period_end_only_no_announcement_date,,derived_historical_calibration,"Historical KPI inputs retain issuer monthly announcement dates; financial target/base rows use provider period-end history unless explicitly overridden by the 1H2025 primary report. This is calibration evidence, not a complete historical announcement-date PIT backtest.",2026-08-09T00:00:00+00:00,113386.89999999998,118961.20000000001,90508.8,96408.20000000001,79.82297778667555,81.04171780378813,4.916176383691621,6.518040234761713,1.2187400171125802,1.6018638510700924,2017-07-14,True,True,False,False,False,False,True,53524.458,49327.777,3457.621,57380.618,53176.419,3326.42,56155.814763694936,57013.203707878136,51752.81752347407,0.8238941677959327,4402.997240220866,3627.6037470395586,positive_prior_h1_operating_to_net_conversion,2.181079985143242,2.7507709621417575,akshare_discovery_historical,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,akshare_discovery_historical,period_end_only_no_announcement_date,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,-2.134524302796919,-0.6403107964467551,-2.677129267628814,301.1837470395585,True,7.204482107973888,7.802180098243639,,,,,,,,,,,,,,,
airline_h1_kpi_backtest,Air China,601111.SH,1H2018,2018,historical_evaluated,raw_observed,flat_unit_economics_ask,2018-08-01,akshare_discovery_historical,period_end_only_no_announcement_date,,derived_historical_calibration,"Historical KPI inputs retain issuer monthly announcement dates; financial target/base rows use provider period-end history unless explicitly overridden by the 1H2025 primary report. This is calibration evidence, not a complete historical announcement-date PIT backtest.",2026-08-09T00:00:00+00:00,118961.20000000001,133752.0,96408.20000000001,107639.1,81.04171780378813,80.47662838686524,12.433297579378817,11.649320286033742,-0.5650894169228877,-0.7839772933450746,2018-07-14,True,True,False,False,False,False,True,57380.618,53176.419,3326.42,64242.322,61393.26,3468.519,64514.920988826605,64065.06997292553,59788.00141632734,0.7912137365524324,4726.919572499268,3740.0036973399724,positive_prior_h1_operating_to_net_conversion,-0.4225363445361978,2.684917618327148,akshare_discovery_historical,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,akshare_discovery_historical,period_end_only_no_announcement_date,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,0.4243292900069804,-0.275911613335623,-2.614714683130785,271.4846973399726,True,11.958226033745404,15.452038994953753,,,,,,,,,,,,,,,
airline_h1_kpi_backtest,Air China,601111.SH,1H2019,2019,historical_evaluated,raw_observed,flat_unit_economics_ask,2019-08-01,akshare_discovery_historical,period_end_only_no_announcement_date,,derived_historical_calibration,"Historical KPI inputs retain issuer monthly announcement dates; financial target/base rows use provider period-end history unless explicitly overridden by the 1H2025 primary report. This is calibration evidence, not a complete historical announcement-date PIT backtest.",2026-08-09T00:00:00+00:00,133752.0,141052.90000000002,107639.1,114262.79999999999,80.47662838686524,81.00705480000764,5.458535199473673,6.153618898708714,0.5304264131423935,0.6950836992350418,2019-07-16,True,True,False,False,False,False,True,64242.322,61393.26,3468.519,65313.087,62981.895,3139.457,67749.01175932922,68195.54966756131,64744.432707204396,1.2174248928243758,3004.5790521248273,3657.8493305154325,positive_prior_h1_operating_to_net_conversion,-3.5955133456153874,-2.722300024119704,akshare_discovery_historical,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,akshare_discovery_historical,period_end_only_no_announcement_date,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,3.7296120444119083,4.413300304671424,2.798483131071876,518.3923305154326,True,1.6667594922861042,2.5876374703021128,,,,,,,,,,,,,,,
airline_h1_kpi_backtest,Air China,601111.SH,1H2020,2020,historical_evaluated,raw_observed,flat_unit_economics_ask,2020-08-01,akshare_discovery_historical,period_end_only_no_announcement_date,,derived_historical_calibration,"Historical KPI inputs retain issuer monthly announcement dates; financial target/base rows use provider period-end history unless explicitly overridden by the 1H2025 primary report. This is calibration evidence, not a complete historical announcement-date PIT backtest.",2026-08-09T00:00:00+00:00,141052.90000000002,65566.1,114262.79999999999,44222.0,81.00705480000764,67.44643954726604,-53.51665935262586,-61.29799024704453,-13.560615252741599,-7.781330894418673,2020-07-18,True,True,False,False,False,False,True,65313.087,62981.895,3139.457,29645.766,41700.106,-9441.128,30359.704717525834,25277.47730069629,29276.088799021498,1.3467174732926315,1083.6159185043362,1459.3244917878337,positive_prior_h1_operating_to_net_conversion,-2.3515996751895045,42.437421495298054,akshare_discovery_historical,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,akshare_discovery_historical,period_end_only_no_announcement_date,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,2.408231642676512,-14.734949669722525,-29.79373050269585,10900.452491787833,False,-54.60976144030675,-33.79032815700448,,,,,,,,,,,,,,,
airline_h1_kpi_backtest,Air China,601111.SH,1H2021,2021,historical_evaluated,raw_observed,flat_unit_economics_ask,2021-08-01,akshare_discovery_historical,period_end_only_no_announcement_date,,derived_historical_calibration,"Historical KPI inputs retain issuer monthly announcement dates; financial target/base rows use provider period-end history unless explicitly overridden by the 1H2025 primary report. This is calibration evidence, not a complete historical announcement-date PIT backtest.",2026-08-09T00:00:00+00:00,65566.1,82478.20000000001,44222.0,58234.600000000006,67.44643954726604,70.6060510534905,25.793969749611463,31.686943150468124,3.159611506224465,5.892973400856661,2021-07-16,True,True,False,False,False,False,True,29645.766,41700.106,-9441.128,37663.803,48032.433,-6785.816,37292.5859140806,39039.603018940805,52456.21872719591,,-15163.632813115313,,unavailable_prior_h1_loss_or_missing,0.9954179277743123,-8.433291294216772,akshare_discovery_historical,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,akshare_discovery_historical,period_end_only_no_announcement_date,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,-0.9856070188116774,3.6528441350991727,9.209997185018537,,,27.046145476558095,15.185397850067815,,,,,,,,,,,,,,,
airline_h1_kpi_backtest,Air China,601111.SH,1H2022,2022,historical_evaluated,raw_observed,flat_unit_economics_ask,2022-08-01,akshare_discovery_historical,period_end_only_no_announcement_date,,derived_historical_calibration,"Historical KPI inputs retain issuer monthly announcement dates; financial target/base rows use provider period-end history unless explicitly overridden by the 1H2025 primary report. This is calibration evidence, not a complete historical announcement-date PIT backtest.",2026-08-09T00:00:00+00:00,82478.20000000001,44282.1,58234.600000000006,26756.8,70.6060510534905,60.423511983397354,-46.310540239723956,-54.053432152019596,-10.18253907009315,-7.74289191229564,2022-07-16,True,True,False,False,False,False,True,37663.803,48032.433,-6785.816,23952.653,47624.07,-19434.906,20221.492355874638,17305.224799524676,25788.353787416545,,-5566.861431541907,,unavailable_prior_h1_loss_or_missing,18.451460349519678,84.67278056049551,akshare_discovery_historical,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,akshare_discovery_historical,period_end_only_no_announcement_date,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,-15.57723331993897,-27.75236714060577,-45.850168229182124,,,-36.404050860185315,-0.8501817927898827,,,,,,,,,,,,,,,
airline_h1_kpi_backtest,Air China,601111.SH,1H2023,2023,historical_evaluated,raw_observed,flat_unit_economics_ask,2023-08-01,akshare_discovery_historical,period_end_only_no_announcement_date,,derived_historical_calibration,"Historical KPI inputs retain issuer monthly announcement dates; financial target/base rows use provider period-end history unless explicitly overridden by the 1H2025 primary report. This is calibration evidence, not a complete historical announcement-date PIT backtest.",2026-08-09T00:00:00+00:00,44282.1,128799.6,26756.8,90835.29999999999,60.423511983397354,70.52452026248527,190.86154450669687,239.48491598397413,10.101008279087914,48.62337147727726,2023-07-15,True,True,False,False,False,False,True,23952.653,47624.07,-19434.906,59613.193,69258.582,-3450.728,69669.05646612967,81315.64391298285,138520.10555895048,,-68851.04909282082,,unavailable_prior_h1_loss_or_missing,-14.433758652980217,-50.00106178050421,akshare_discovery_historical,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,akshare_discovery_historical,period_end_only_no_announcement_date,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,16.86852013803332,36.4054495671501,100.00424721220904,,,148.8792911582696,45.42768394217461,,,,,,,,,,,,,,,
airline_h1_kpi_backtest,Air China,601111.SH,1H2024,2024,historical_evaluated,raw_observed,flat_unit_economics_ask,2024-08-01,akshare_discovery_historical,period_end_only_no_announcement_date,,derived_historical_calibration,"Historical KPI inputs retain issuer monthly announcement dates; financial target/base rows use provider period-end history unless explicitly overridden by the 1H2025 primary report. This is calibration evidence, not a complete historical announcement-date PIT backtest.",2026-08-09T00:00:00+00:00,128799.6,171790.9,90835.29999999999,136213.5,70.52452026248527,79.29028836801018,33.37844216907504,49.95656974766419,8.765768105524913,16.578127578589147,2024-07-16,True,True,False,False,False,False,True,59613.193,69258.582,-3450.728,79520.332,87178.01,-2782.49,79511.14815064409,89393.89933985466,92376.01773999141,,-12864.86958934732,,unavailable_prior_h1_loss_or_missing,0.011550392076472349,-5.627009982853053,akshare_discovery_historical,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,akshare_discovery_historical,period_end_only_no_announcement_date,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,-0.011549058114979971,12.416406083232488,5.962521672600033,,,33.39384790209107,25.87322391324733,,,,,,,,,,,,,,,
airline_h1_kpi_backtest,Air China,601111.SH,1H2025,2025,historical_evaluated,raw_observed,flat_unit_economics_ask,2025-08-01,primary_issuer,issuer_announcement_date_available,2025-08-29,derived_historical_calibration,"Historical KPI inputs retain issuer monthly announcement dates; financial target/base rows use provider period-end history unless explicitly overridden by the 1H2025 primary report. This is calibration evidence, not a complete historical announcement-date PIT backtest.",2026-08-09T00:00:00+00:00,171790.9,177576.30000000002,136213.5,143336.59999999998,79.29028836801018,80.71831657715583,3.3676987547070354,5.229364196647168,1.4280282091456513,1.8616654419401328,2025-07-16,True,True,False,False,False,False,True,79520.332,87178.01,-2782.49,80757.434,87393.607,-1805.673,82198.33723050289,83678.73977066296,90113.90275714837,,-7915.565526645485,,unavailable_prior_h1_loss_or_missing,-1.7529590975329512,-3.018730377796871,primary_issuer,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_official_report_drivers.csv,akshare_discovery_historical,period_end_only_no_announcement_date,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_financial_history_trend.csv,1.7842360252591618,3.6173831014281035,3.1126942239017126,,,1.5557052754759582,0.24730663156914545,,,,,,,,,,,,,,,
airline_h1_kpi_backtest,Air China,601111.SH,1H2026,2026,current_1h2026_nowcast,raw_observed,flat_unit_economics_ask,2026-08-01,pending_1H2026_primary_report,pending_formal_interim_report,,current_pre_event_nowcast,Current 1H2026 nowcast uses H1 2026 issuer operating releases through the pre-report cutoff and H1 2025 financial base. No 1H2026 financial actual is used as an input; the formal interim report remains the event test.,2026-08-09T00:00:00+00:00,177576.30000000002,180676.0,143336.59999999998,153109.40000000002,80.71831657715583,84.74252252651155,1.7455595144171667,6.818077169404077,4.024205949355718,5.07251765498691,2026-07-15,True,True,False,False,False,False,True,80757.434,87393.607,-1805.673,,,,82167.10307278617,86263.53817015057,88919.11442198085,,-6752.011349194683,,unavailable_prior_h1_loss_or_missing,,,,,primary_issuer,issuer_announcement_date_available,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_official_report_drivers.csv,,,,,,,,7.164675767918089,,,,,,,,,,,,,,
