status,airline_code,month,metric,region,value,recovery_method,reason,announcement_date,announcement_id,source_pdf_url,source_pdf_path,companion_parser_metrics,source_text_metric_present,source_text_keyword_matches,parser_metric_present,parser_metric_row_count,parser_metric_regions,disclosure_check,retrieved_at
not_disclosed_in_source_pdf,603885,2016-01,aftk,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-02-26,1202000584,http://static.cninfo.com.cn/finalpage/2016-02-26/1202000584.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202000584.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-01,freight_load_factor_pct,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-02-26,1202000584,http://static.cninfo.com.cn/finalpage/2016-02-26/1202000584.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202000584.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-02,aftk,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-03-05,1202023023,http://static.cninfo.com.cn/finalpage/2016-03-05/1202023023.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202023023.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-02,freight_load_factor_pct,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-03-05,1202023023,http://static.cninfo.com.cn/finalpage/2016-03-05/1202023023.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202023023.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-03,aftk,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-04-09,1202155254,http://static.cninfo.com.cn/finalpage/2016-04-09/1202155254.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202155254.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-03,freight_load_factor_pct,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-04-09,1202155254,http://static.cninfo.com.cn/finalpage/2016-04-09/1202155254.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202155254.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-04,aftk,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-05-11,1202314958,http://static.cninfo.com.cn/finalpage/2016-05-11/1202314958.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202314958.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-04,freight_load_factor_pct,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-05-11,1202314958,http://static.cninfo.com.cn/finalpage/2016-05-11/1202314958.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202314958.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-05,aftk,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-06-14,1202366028,http://static.cninfo.com.cn/finalpage/2016-06-14/1202366028.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202366028.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-05,freight_load_factor_pct,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-06-14,1202366028,http://static.cninfo.com.cn/finalpage/2016-06-14/1202366028.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202366028.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-06,aftk,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-07-08,1202458445,http://static.cninfo.com.cn/finalpage/2016-07-08/1202458445.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202458445.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-06,freight_load_factor_pct,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-07-08,1202458445,http://static.cninfo.com.cn/finalpage/2016-07-08/1202458445.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202458445.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-07,aftk,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-08-12,1202558839,http://static.cninfo.com.cn/finalpage/2016-08-12/1202558839.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202558839.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-07,freight_load_factor_pct,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-08-12,1202558839,http://static.cninfo.com.cn/finalpage/2016-08-12/1202558839.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202558839.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-08,aftk,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-09-10,1202691081,http://static.cninfo.com.cn/finalpage/2016-09-10/1202691081.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202691081.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-08,freight_load_factor_pct,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-09-10,1202691081,http://static.cninfo.com.cn/finalpage/2016-09-10/1202691081.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202691081.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
not_disclosed_in_source_pdf,603885,2016-09,aftk,Total,,not_applicable,The official monthly PDF discloses ATK/RTK/RFTK and cargo tonnage but does not disclose AFTK; freight load factor cannot be derived without AFTK.,2016-10-15,1202760093,http://static.cninfo.com.cn/finalpage/2016-10-15/1202760093.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_pdfs/603885/1202760093.PDF,ask;atk;cargo_tonnes;overall_load_factor_pct;passenger_load_factor_pct;passengers;rftk;rpk;rtk,False,,False,0,,not_disclosed_in_source_pdf,2026-08-09T16:03:51.463326+00:00
