month,airline_code,airline_name,announcement_date,announcement_time,announcement_id,announcement_title,source_pdf_url,source_quality,retrieved_at
2016-01,600029,China Southern,2016-02-23,2016-02-23T00:00:00+08:00,1201991131,2016年1月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-02-23/1201991131.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-01,600115,China Eastern,2016-02-26,2016-02-26T00:00:00+08:00,1202000346,2016年1月运营数据公告,http://static.cninfo.com.cn/finalpage/2016-02-26/1202000346.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-01,601021,Spring Airlines,2016-02-19,2016-02-19T00:00:00+08:00,1201986469,2016年1月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-02-19/1201986469.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-01,601111,Air China,2016-02-19,2016-02-19T00:00:00+08:00,1201985937,2016年1月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-02-19/1201985937.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-01,603885,Juneyao Airlines,2016-02-26,2016-02-26T00:00:00+08:00,1202000584,2016年1月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-02-26/1202000584.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-02,600029,China Southern,2016-03-16,2016-03-16T00:00:00+08:00,1202046724,2016年2月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-03-16/1202046724.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-02,600115,China Eastern,2016-03-16,2016-03-16T00:00:00+08:00,1202046211,2016年2月运营数据公告,http://static.cninfo.com.cn/finalpage/2016-03-16/1202046211.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-02,601021,Spring Airlines,2016-03-11,2016-03-11T00:00:00+08:00,1202036915,2016年2月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-03-11/1202036915.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-02,601111,Air China,2016-03-16,2016-03-16T00:00:00+08:00,1202046329,2016年2月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-03-16/1202046329.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-02,603885,Juneyao Airlines,2016-03-05,2016-03-05T00:00:00+08:00,1202023023,2016年2月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-03-05/1202023023.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-03,600029,China Southern,2016-04-16,2016-04-16T00:00:00+08:00,1202187631,2016年3月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-04-16/1202187631.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-03,600115,China Eastern,2016-04-14,2016-04-14T00:00:00+08:00,1202174755,2016年3月运营数据公告,http://static.cninfo.com.cn/finalpage/2016-04-14/1202174755.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-03,601021,Spring Airlines,2016-04-13,2016-04-13T00:00:00+08:00,1202170255,2016年3月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-04-13/1202170255.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-03,601111,Air China,2016-04-19,2016-04-19T00:00:00+08:00,1202195803,2016年3月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-04-19/1202195803.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-03,603885,Juneyao Airlines,2016-04-09,2016-04-09T00:00:00+08:00,1202155254,2016年3月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-04-09/1202155254.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-04,600029,China Southern,2016-05-17,2016-05-17T00:00:00+08:00,1202323597,2016年4月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-05-17/1202323597.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-04,600115,China Eastern,2016-05-18,2016-05-18T00:00:00+08:00,1202326196,2016年4月运营数据公告,http://static.cninfo.com.cn/finalpage/2016-05-18/1202326196.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-04,601021,Spring Airlines,2016-05-10,2016-05-10T00:00:00+08:00,1202311889,2016年4月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-05-10/1202311889.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-04,601111,Air China,2016-05-17,2016-05-17T00:00:00+08:00,1202323613,2016年4月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-05-17/1202323613.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-04,603885,Juneyao Airlines,2016-05-11,2016-05-11T00:00:00+08:00,1202314958,2016年4月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-05-11/1202314958.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-05,600029,China Southern,2016-06-16,2016-06-16T00:00:00+08:00,1202370052,2016年5月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-06-16/1202370052.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-05,600115,China Eastern,2016-06-16,2016-06-16T00:00:00+08:00,1202370791,2016年5月运营数据公告,http://static.cninfo.com.cn/finalpage/2016-06-16/1202370791.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-05,601021,Spring Airlines,2016-06-09,2016-06-09T00:00:00+08:00,1202363502,2016年5月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-06-09/1202363502.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-05,601111,Air China,2016-06-17,2016-06-17T00:00:00+08:00,1202371684,2016年5月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-06-17/1202371684.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2016-05,603885,Juneyao Airlines,2016-06-14,2016-06-14T00:00:00+08:00,1202366028,2016年5月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2016-06-14/1202366028.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
