dataset_id,pair_id,selection_bucket,scenario,company_a,asset_a,company_b,asset_b,direction_status,long_leg,short_leg,pb_target_return_a_pct,pb_target_return_b_pct,equal_notional_gross_pair_payoff_pct,beta_hedge_ratio_long_to_short,beta_hedged_pair_payoff_pct,observed_hedged_spread_max_drawdown_pct,payoff_to_observed_max_drawdown,valuation_method,valuation_scope_status,valuation_conflict_flag,catalyst,risk_rule,source_quality,source_paths,retrieved_at
airline_pair_pb_trade_diagnostic,01055.HK__601021.SH,core_candidate,bear,China Southern Airlines,01055.HK,Spring Airlines,601021.SH,provisional_mechanical_direction_requires_review,Spring Airlines,China Southern Airlines,18.91891891891892,3.750000000000014,-15.168918918918905,0.4240927844988554,-4.273377004032385,-26.9207402860714,-0.1587392084549547,one_year_historical_pb_percentile_applied_to_latest_primary_equity_diagnostic,latest_equity_basis_is_pit_aligned_through_1H2026; business_model_scope_requires_review,pb_cross_check_disagrees_with_or_is_weaker_than_constant_ps_direction,report=2026-08-29; warning=2026-07-14; report=2026-08-29; warning=pending,Do not approve from P/B alone; reconcile fleet/lease asset quality and reduce or exit if the operating KPI advantage reverses or spread drawdown breaches the risk budget.,derived_pb_pair_trade_diagnostic,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_historical_pb_valuation.csv;/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_pair_trade_thesis_scenarios.csv,2026-08-08T20:42:56.908076+00:00
airline_pair_pb_trade_diagnostic,01055.HK__601021.SH,core_candidate,base,China Southern Airlines,01055.HK,Spring Airlines,601021.SH,provisional_mechanical_direction_requires_review,Spring Airlines,China Southern Airlines,32.43243243243242,20.833333333333343,-11.599099099099078,0.4240927844988554,7.078972754992092,-26.9207402860714,0.26295609555190064,one_year_historical_pb_percentile_applied_to_latest_primary_equity_diagnostic,latest_equity_basis_is_pit_aligned_through_1H2026; business_model_scope_requires_review,pb_cross_check_disagrees_with_or_is_weaker_than_constant_ps_direction,report=2026-08-29; warning=2026-07-14; report=2026-08-29; warning=pending,Do not approve from P/B alone; reconcile fleet/lease asset quality and reduce or exit if the operating KPI advantage reverses or spread drawdown breaches the risk budget.,derived_pb_pair_trade_diagnostic,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_historical_pb_valuation.csv;/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_pair_trade_thesis_scenarios.csv,2026-08-08T20:42:56.908076+00:00
airline_pair_pb_trade_diagnostic,01055.HK__601021.SH,core_candidate,bull,China Southern Airlines,01055.HK,Spring Airlines,601021.SH,provisional_mechanical_direction_requires_review,Spring Airlines,China Southern Airlines,61.48648648648648,24.583333333333343,-36.903153153153134,0.4240927844988554,-1.4926419297719526,-26.9207402860714,-0.05544579806909081,one_year_historical_pb_percentile_applied_to_latest_primary_equity_diagnostic,latest_equity_basis_is_pit_aligned_through_1H2026; business_model_scope_requires_review,pb_cross_check_disagrees_with_or_is_weaker_than_constant_ps_direction,report=2026-08-29; warning=2026-07-14; report=2026-08-29; warning=pending,Do not approve from P/B alone; reconcile fleet/lease asset quality and reduce or exit if the operating KPI advantage reverses or spread drawdown breaches the risk budget.,derived_pb_pair_trade_diagnostic,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_historical_pb_valuation.csv;/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_pair_trade_thesis_scenarios.csv,2026-08-08T20:42:56.908076+00:00
airline_pair_pb_trade_diagnostic,0670.HK__601021.SH,backup_candidate,bear,China Eastern Airlines,0670.HK,Spring Airlines,601021.SH,provisional_mechanical_direction_requires_review,Spring Airlines,China Eastern Airlines,1.801801801801787,3.750000000000014,1.9481981981982273,0.345673126982754,3.1271655369680302,-30.00401737308851,0.1042248942227609,one_year_historical_pb_percentile_applied_to_latest_primary_equity_diagnostic,latest_equity_basis_is_pit_aligned_through_1H2026; business_model_scope_requires_review,pb_cross_check_not_negative_on_equal_notional_basis,report=2026-08-31; warning=2026-07-14; report=2026-08-29; warning=pending,Do not approve from P/B alone; reconcile fleet/lease asset quality and reduce or exit if the operating KPI advantage reverses or spread drawdown breaches the risk budget.,derived_pb_pair_trade_diagnostic,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_historical_pb_valuation.csv;/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_pair_trade_thesis_scenarios.csv,2026-08-08T20:42:56.908076+00:00
airline_pair_pb_trade_diagnostic,0670.HK__601021.SH,backup_candidate,base,China Eastern Airlines,0670.HK,Spring Airlines,601021.SH,provisional_mechanical_direction_requires_review,Spring Airlines,China Eastern Airlines,15.315315315315305,20.833333333333343,5.518018018018038,0.345673126982754,15.53924039756144,-30.00401737308851,0.5179053259547518,one_year_historical_pb_percentile_applied_to_latest_primary_equity_diagnostic,latest_equity_basis_is_pit_aligned_through_1H2026; business_model_scope_requires_review,pb_cross_check_not_negative_on_equal_notional_basis,report=2026-08-31; warning=2026-07-14; report=2026-08-29; warning=pending,Do not approve from P/B alone; reconcile fleet/lease asset quality and reduce or exit if the operating KPI advantage reverses or spread drawdown breaches the risk budget.,derived_pb_pair_trade_diagnostic,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_historical_pb_valuation.csv;/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_pair_trade_thesis_scenarios.csv,2026-08-08T20:42:56.908076+00:00
airline_pair_pb_trade_diagnostic,0670.HK__601021.SH,backup_candidate,bull,China Eastern Airlines,0670.HK,Spring Airlines,601021.SH,provisional_mechanical_direction_requires_review,Spring Airlines,China Eastern Airlines,31.306306306306283,24.583333333333343,-6.72297297297294,0.345673126982754,13.761584538152539,-30.00401737308851,0.45865806458623476,one_year_historical_pb_percentile_applied_to_latest_primary_equity_diagnostic,latest_equity_basis_is_pit_aligned_through_1H2026; business_model_scope_requires_review,pb_cross_check_disagrees_with_or_is_weaker_than_constant_ps_direction,report=2026-08-31; warning=2026-07-14; report=2026-08-29; warning=pending,Do not approve from P/B alone; reconcile fleet/lease asset quality and reduce or exit if the operating KPI advantage reverses or spread drawdown breaches the risk budget.,derived_pb_pair_trade_diagnostic,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_historical_pb_valuation.csv;/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_pair_trade_thesis_scenarios.csv,2026-08-08T20:42:56.908076+00:00
airline_pair_pb_trade_diagnostic,600221.SH__601021.SH,backup_candidate,bear,Spring Airlines,601021.SH,Hainan Airlines Holdings,600221.SH,provisional_mechanical_direction_requires_review,Spring Airlines,Hainan Airlines Holdings,3.750000000000014,14.993954050785971,-11.243954050785957,0.4459881198657552,-2.9371253764635457,-20.69921529429225,-0.14189549384867017,one_year_historical_pb_percentile_applied_to_latest_primary_equity_diagnostic,latest_equity_basis_is_pit_aligned_through_1H2026; business_model_scope_requires_review,pb_cross_check_disagrees_with_or_is_weaker_than_constant_ps_direction,report=2026-08-29; warning=pending; report=2026-08-25; warning=pending,Do not approve from P/B alone; reconcile fleet/lease asset quality and reduce or exit if the operating KPI advantage reverses or spread drawdown breaches the risk budget.,derived_pb_pair_trade_diagnostic,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_historical_pb_valuation.csv;/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_pair_trade_thesis_scenarios.csv,2026-08-08T20:42:56.908076+00:00
airline_pair_pb_trade_diagnostic,600221.SH__601021.SH,backup_candidate,base,Spring Airlines,601021.SH,Hainan Airlines Holdings,600221.SH,provisional_mechanical_direction_requires_review,Spring Airlines,Hainan Airlines Holdings,20.833333333333343,64.087061668682,-43.253728335348654,0.4459881198657552,-7.748734808002851,-20.69921529429225,-0.37434920589185533,one_year_historical_pb_percentile_applied_to_latest_primary_equity_diagnostic,latest_equity_basis_is_pit_aligned_through_1H2026; business_model_scope_requires_review,pb_cross_check_disagrees_with_or_is_weaker_than_constant_ps_direction,report=2026-08-29; warning=pending; report=2026-08-25; warning=pending,Do not approve from P/B alone; reconcile fleet/lease asset quality and reduce or exit if the operating KPI advantage reverses or spread drawdown breaches the risk budget.,derived_pb_pair_trade_diagnostic,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_historical_pb_valuation.csv;/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_pair_trade_thesis_scenarios.csv,2026-08-08T20:42:56.908076+00:00
airline_pair_pb_trade_diagnostic,600221.SH__601021.SH,backup_candidate,bull,Spring Airlines,601021.SH,Hainan Airlines Holdings,600221.SH,provisional_mechanical_direction_requires_review,Spring Airlines,Hainan Airlines Holdings,24.583333333333343,78.59733978234584,-54.0140064490125,0.4459881198657552,-10.470146462645005,-20.69921529429225,-0.5058233519379896,one_year_historical_pb_percentile_applied_to_latest_primary_equity_diagnostic,latest_equity_basis_is_pit_aligned_through_1H2026; business_model_scope_requires_review,pb_cross_check_disagrees_with_or_is_weaker_than_constant_ps_direction,report=2026-08-29; warning=pending; report=2026-08-25; warning=pending,Do not approve from P/B alone; reconcile fleet/lease asset quality and reduce or exit if the operating KPI advantage reverses or spread drawdown breaches the risk budget.,derived_pb_pair_trade_diagnostic,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_historical_pb_valuation.csv;/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_pair_trade_thesis_scenarios.csv,2026-08-08T20:42:56.908076+00:00
airline_pair_pb_trade_diagnostic,0753.HK__601021.SH,backup_candidate,bear,Air China,0753.HK,Spring Airlines,601021.SH,provisional_mechanical_direction_requires_review,Spring Airlines,Air China,2.2988505747126453,3.750000000000014,1.451149425287369,0.4751405910804275,2.6577227791254674,-21.87381734223206,0.12150246742685229,one_year_historical_pb_percentile_applied_to_latest_primary_equity_diagnostic,latest_equity_basis_is_pit_aligned_through_1H2026; business_model_scope_requires_review,pb_cross_check_not_negative_on_equal_notional_basis,report=2026-08-31; warning=2026-07-14; report=2026-08-29; warning=pending,Do not approve from P/B alone; reconcile fleet/lease asset quality and reduce or exit if the operating KPI advantage reverses or spread drawdown breaches the risk budget.,derived_pb_pair_trade_diagnostic,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_historical_pb_valuation.csv;/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_pair_trade_thesis_scenarios.csv,2026-08-08T20:42:56.908076+00:00
airline_pair_pb_trade_diagnostic,0753.HK__601021.SH,backup_candidate,base,Air China,0753.HK,Spring Airlines,601021.SH,provisional_mechanical_direction_requires_review,Spring Airlines,Air China,14.367816091954026,20.833333333333343,6.465517241379317,0.4751405910804275,14.006600702867429,-21.87381734223206,0.640336365789464,one_year_historical_pb_percentile_applied_to_latest_primary_equity_diagnostic,latest_equity_basis_is_pit_aligned_through_1H2026; business_model_scope_requires_review,pb_cross_check_not_negative_on_equal_notional_basis,report=2026-08-31; warning=2026-07-14; report=2026-08-29; warning=pending,Do not approve from P/B alone; reconcile fleet/lease asset quality and reduce or exit if the operating KPI advantage reverses or spread drawdown breaches the risk budget.,derived_pb_pair_trade_diagnostic,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_historical_pb_valuation.csv;/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_pair_trade_thesis_scenarios.csv,2026-08-08T20:42:56.908076+00:00
