dataset_id,as_of_date,company,ticker,period,metric,reported_value,reported_unit,operating_scope,financial_scope,subsidiary_scope,scope_status,comparability_to_spring,model_use,source_quality,source_url,source_page,source_note,retrieved_at
airline_scope_reconciliation,2026-08-07,Spring Airlines,601021.SH,FY2025,financial_and_operating_scope,listed_company_group,scope label,Spring Airlines operating company and consolidated issuer statements,Spring Airlines consolidated issuer statements,no separate LCC airline subsidiary identified in the covered report,scope_aligned_with_issuer,baseline pure LCC operating model,Use directly for Spring company-level revenue cost ASK RPK LF and fleet analysis,primary issuer,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,annual report pp.14-15 and 39,The FY2025 report identifies Spring as an LCC with 134 A320-family aircraft and presents the operating table for Spring Airlines; exact subsidiary boundary should remain attached to the report scope,2026-08-07
airline_scope_reconciliation,2026-08-07,Spring Airlines,601021.SH,FY2025,ask_total,6174900.18,ten-thousand seat-km,Spring Airlines operating table,financial statements are issuer consolidated,Spring operating table,scope_aligned_with_issuer,baseline pure LCC operating model,Use as Spring capacity baseline after converting to million seat-km,primary issuer,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,annual report p.14,Reported FY2025 ASK with domestic international and Hong Kong Macau Taiwan split,2026-08-07
airline_scope_reconciliation,2026-08-07,Spring Airlines,601021.SH,FY2025,international_ask_share,21.40,percent,Spring Airlines operating table,financial statements are issuer consolidated,Spring operating table,scope_confirmed,baseline pure LCC operating model,Use as international mix input and compare only after Juneyao group adjustment,primary issuer,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,annual report p.15,International ASK share is calculated from reported international ASK divided by total ASK; regional Hong Kong Macau Taiwan is kept separate,2026-08-07
airline_scope_reconciliation,2026-08-07,Juneyao Airlines,603885.SH,FY2025,operating_data_scope,company including 9 Air,scope label,Company including subsidiary 9 Air operating data,not a standalone Juneyao Air operating table,9 Air included in operating table,scope_confirmed_not_like_for_like,not pure LCC versus Spring,Use only as Juneyao group-level operating context unless standalone Juneyao data is isolated,primary issuer,https://static.cninfo.com.cn/finalpage/2026-04-23/1225151299.PDF,annual report pp.11-12,The report heading explicitly states operating data for the company including 9 Air and separately discloses Juneyao standalone and 9 Air standalone passenger metrics,2026-08-07
airline_scope_reconciliation,2026-08-07,Juneyao Airlines,603885.SH,FY2025,ask_total,5717802.75,ten-thousand seat-km,Company including 9 Air operating table,consolidated Juneyao Group financial statements,Juneyao Air plus 9 Air,scope_confirmed_not_like_for_like,not pure LCC versus Spring,Use as group capacity only and do not compare directly with Spring as a single-model CASK proxy,primary issuer,https://static.cninfo.com.cn/finalpage/2026-04-23/1225151299.PDF,annual report p.11,Reported consolidated operating ASK includes domestic 3990126.46 international 1682787.75 and regional 44888.54 ten-thousand seat-km,2026-08-07
airline_scope_reconciliation,2026-08-07,Juneyao Airlines,603885.SH,FY2025,international_ask_share,29.43,percent,Company including 9 Air operating table,consolidated Juneyao Group financial statements,Juneyao Air plus 9 Air,derived_scope_confirmed,not pure LCC versus Spring,Use as group international mix context; recompute after standalone separation if available,primary issuer,https://static.cninfo.com.cn/finalpage/2026-04-23/1225151299.PDF,annual report p.11,Derived as reported international ASK divided by total ASK; regional is excluded from numerator,2026-08-07
airline_scope_reconciliation,2026-08-07,Juneyao Airlines,603885.SH,FY2025,passengers_total,27194520,passengers,Company including 9 Air operating table,consolidated Juneyao Group financial statements,Juneyao Air plus 9 Air,scope_confirmed_not_like_for_like,not pure LCC versus Spring,Use only with matching group ASK and group load factor,primary issuer,https://static.cninfo.com.cn/finalpage/2026-04-23/1225151299.PDF,annual report p.12,Group passenger count equals approximately Juneyao standalone 1988.0 thousand plus 9 Air standalone 731.63 thousand subject to rounding,2026-08-07
airline_scope_reconciliation,2026-08-07,Juneyao Airlines,603885.SH,FY2025,passengers_9air_standalone,7316300,passengers,9 Air standalone disclosure,consolidated Juneyao Group financial statements,9 Air standalone,scope_confirmed,not pure LCC versus Spring,Use to estimate 9 Air passenger mix only; do not infer revenue or ASK without more disclosure,primary issuer,https://static.cninfo.com.cn/finalpage/2026-04-23/1225151299.PDF,annual report p.12,9 Air standalone passenger volume and load factor are disclosed separately,2026-08-07
airline_scope_reconciliation,2026-08-07,Juneyao Airlines,603885.SH,FY2025,fleet_total,129,aircraft,Company fleet table,consolidated Juneyao Group financial statements,Juneyao Air 103 plus 9 Air 26,scope_confirmed,not pure LCC versus Spring,Use as group fleet context; split aircraft type before unit-cost comparisons,primary issuer,https://static.cninfo.com.cn/finalpage/2026-04-23/1225151299.PDF,annual report p.13,Report discloses Juneyao Air 93 A320-family plus 10 B787 and 9 Air 26 B737 aircraft,2026-08-07
airline_scope_reconciliation,2026-08-07,Juneyao Airlines,603885.SH,FY2025,fleet_juneyao_standalone,103,aircraft,Juneyao standalone fleet table,consolidated Juneyao Group financial statements,Juneyao Air standalone,scope_confirmed,not pure LCC versus Spring,Use to separate Juneyao Air widebody and narrowbody exposure from 9 Air,primary issuer,https://static.cninfo.com.cn/finalpage/2026-04-23/1225151299.PDF,annual report p.13,Juneyao standalone fleet is 93 A320-family plus 10 B787 aircraft,2026-08-07
