dataset_id,ticker,company,report_date,report_title,institution,rating,eps_2026_native,eps_2027_native,eps_2028_native,pe_2026,pe_2027,pe_2028,report_url,source_quality,source_note,retrieved_at
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2026-02-06,全年业绩扭亏为盈，盈利能力持续改善,国信证券,增持,0.31,0.46,,26.9,17.8,,https://pdf.dfcfw.com/pdf/H3_AP202602061819805581_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-11-04,2025年三季报点评：Q3盈利同比增长，重视价格回升的盈利释放能力,民生证券,买入,0.23,0.42,,30.0,16.0,,https://pdf.dfcfw.com/pdf/H3_AP202511041774937724_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-10-29,客座率再创新高，三季度业绩同比回升,中邮证券,买入,0.35,0.5,,18.72,13.23,,https://pdf.dfcfw.com/pdf/H3_AP202510291771297937_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-10-28,2025年三季报点评：三季度业绩亮眼，看好全年利润转盈,信达证券,增持,0.34,0.46,,19.61,14.51,,https://pdf.dfcfw.com/pdf/H3_AP202510281770762245_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-10-28,成本优化明显，Q3净利大增,国金证券,买入,0.363,0.541,,18.17,12.19,,https://pdf.dfcfw.com/pdf/H3_AP202510281770617253_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-09-02,2025年半年报点评：Q2投资损失收窄，看好全货机盈利潜力释放,民生证券,买入,0.23,0.42,,26.0,14.0,,https://pdf.dfcfw.com/pdf/H3_AP202509021737959312_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-08-31,油价下降毛利提升 H1扣非净利减亏,国金证券,买入,0.272,0.474,,22.21,12.75,,https://pdf.dfcfw.com/pdf/H3_AP202508301736966061_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-08-29,2025年中报点评：客座率高位提升，看好座收修复弹性,信达证券,增持,0.39,0.52,,15.61,11.63,,https://pdf.dfcfw.com/pdf/H3_AP202508291736467484_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-08-22,坐拥北京广州双核心枢纽，营收居三大航之首,中银证券,增持,0.37,0.51,,15.6,11.2,,https://pdf.dfcfw.com/pdf/H3_AP202508221732371695_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-05-07,控制机队增速，积极推广入境旅游,西南证券,,0.38,0.57,,14.96,9.9,,https://pdf.dfcfw.com/pdf/H3_AP202505071668752776_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-04-03,2024年年报点评：归母同比大幅减亏，淡季量价偏离压制盈利能力,民生证券,买入,0.23,0.42,,24.0,13.0,,https://pdf.dfcfw.com/pdf/H3_AP202504031650685789_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-04-01,全年业绩同比减亏，供需格局持续改善,国信证券,增持,0.37,0.47,,15.8,12.5,,https://pdf.dfcfw.com/pdf/H3_AP202504011649841134_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-03-28,2024年报点评：票价拖累客运业务增利，货运业务实现高增,信达证券,增持,0.36,0.44,,16.89,13.61,,https://pdf.dfcfw.com/pdf/H3_AP202503281648659957_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-03-28,货运景气拉动业绩减亏，客运有望逐步复苏,中邮证券,买入,0.37,0.53,,16.49,11.61,,https://pdf.dfcfw.com/pdf/H3_AP202503281648536716_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2025-03-27,客货运收入同增，全年净利大幅减亏,国金证券,买入,0.418,0.583,,14.65,10.49,,https://pdf.dfcfw.com/pdf/H3_AP202503271648191751_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2024-11-04,2024年三季报点评：客座率超过2019年同期，票价下跌拖累整体盈利,信达证券,增持,0.31,,,19.37,,,https://pdf.dfcfw.com/pdf/H3_AP202411041640696224_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2024-10-30,三季度业绩表现承压，静待盈利修复,国信证券,增持,0.45,,,13.4,,,https://pdf.dfcfw.com/pdf/H3_AP202410301640595973_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2024-10-30,Q3旺季出行旺盛，量增推动收入增长,国金证券,买入,0.624,,,9.62,,,https://pdf.dfcfw.com/pdf/H3_AP202410301640588141_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
airline_sell_side_reports_akshare,01055.HK / 600029.SH,China Southern Airlines,2024-09-04,民航需求逐步恢复，上半年明显减亏,中邮证券,买入,0.57,,,9.78,,,https://pdf.dfcfw.com/pdf/H3_AP202409041639727903_1.pdf,akshare_discovery,Eastmoney public research-report discovery feed; report PDF links and ratings are retained for manual primary-source review.,2026-08-07T15:04:50.304209+00:00
