company,ticker,period,operating_cost_mae_pct_flat_ask,operating_cost_mae_pct_flat_rpk,operating_cost_mae_pct_walk_forward_fuel_nonfuel,operating_cost_mae_pct_walk_forward_integrated,operating_cost_mae_pct_walk_forward_yield_mix,operating_profit_proxy_mae_pct_of_prior_revenue_flat_ask,operating_profit_proxy_mae_pct_of_prior_revenue_flat_rpk,operating_profit_proxy_mae_pct_of_prior_revenue_walk_forward_fuel_nonfuel,operating_profit_proxy_mae_pct_of_prior_revenue_walk_forward_integrated,operating_profit_proxy_mae_pct_of_prior_revenue_walk_forward_yield_mix,revenue_mae_pct_flat_ask,revenue_mae_pct_flat_rpk,revenue_mae_pct_walk_forward_fuel_nonfuel,revenue_mae_pct_walk_forward_integrated,revenue_mae_pct_walk_forward_yield_mix,revenue_mae_pct_integrated_minus_flat_ask,revenue_mae_pct_integrated_minus_flat_rpk,revenue_mae_pct_integrated_minus_walk_forward_yield_mix,revenue_mae_pct_integrated_minus_walk_forward_fuel_nonfuel,operating_cost_mae_pct_integrated_minus_flat_ask,operating_cost_mae_pct_integrated_minus_flat_rpk,operating_cost_mae_pct_integrated_minus_walk_forward_yield_mix,operating_cost_mae_pct_integrated_minus_walk_forward_fuel_nonfuel,operating_profit_proxy_mae_pct_of_prior_revenue_integrated_minus_flat_ask,operating_profit_proxy_mae_pct_of_prior_revenue_integrated_minus_flat_rpk,operating_profit_proxy_mae_pct_of_prior_revenue_integrated_minus_walk_forward_yield_mix,operating_profit_proxy_mae_pct_of_prior_revenue_integrated_minus_walk_forward_fuel_nonfuel,dataset_id,source_quality,source_note,strict_historical_rows,logical_historical_rows,logical_summary_rows
Air China,601111.SH,FY,22.587426008484115,22.587426008484115,12.713218419664038,12.713218419664038,22.587426008484115,39.051431876826726,32.19393895748793,26.352111612459247,23.71491375368517,40.92021516360499,5.84961593499737,10.577450736826554,10.577450736826554,8.98705219443246,8.98705219443246,3.1374362594350895,-1.5903985423940945,0.0,-1.5903985423940945,-9.874207588820077,-9.874207588820077,-9.874207588820077,0.0,-15.336518123141555,-8.47902520380276,-17.205301409919823,-2.6371978587740763,airline_walk_forward_model_v2_model_comparison,derived_summary_comparison,Negative integrated-minus-baseline MAE means the integrated bridge improved on that historical slice; this is diagnostic and does not select a trade direction by itself.,800,800,90
Air China,601111.SH,H1,22.447076234159866,22.447076234159866,13.45762253689588,13.45762253689588,22.447076234159866,38.50805592863884,30.64411046527927,28.571651744975295,22.935451967071426,38.780605299212446,4.880426982227825,11.545435823521329,11.545435823521329,10.66310211950091,10.66310211950091,5.782675137273086,-0.882333704020418,0.0,-0.882333704020418,-8.989453697263986,-8.989453697263986,-8.989453697263986,0.0,-15.572603961567413,-7.708658498207843,-15.84515333214102,-5.636199777903869,airline_walk_forward_model_v2_model_comparison,derived_summary_comparison,Negative integrated-minus-baseline MAE means the integrated bridge improved on that historical slice; this is diagnostic and does not select a trade direction by itself.,800,800,90
Air China,601111.SH,H2,24.4514921704149,24.4514921704149,15.712122997057536,15.712122997057536,24.4514921704149,42.044337285836335,35.015060621048505,27.355614455795834,24.969733264085278,43.854366644193604,6.879025048128103,10.096464165496352,10.096464165496352,10.739893461418676,10.739893461418676,3.8608684132905733,0.6434292959223242,0.0,0.6434292959223242,-8.739369173357366,-8.739369173357366,-8.739369173357366,0.0,-17.074604021751057,-10.045327356963227,-18.884633380108326,-2.3858811917105562,airline_walk_forward_model_v2_model_comparison,derived_summary_comparison,Negative integrated-minus-baseline MAE means the integrated bridge improved on that historical slice; this is diagnostic and does not select a trade direction by itself.,800,800,90
China Eastern Airlines,600115.SH,FY,19.49069753076906,19.49069753076906,11.340166403109766,11.340166403109766,19.49069753076906,32.056896932822696,26.52651201818616,22.387541781805744,20.224039927078145,35.395239771132395,6.81548656355098,9.478939232044418,9.478939232044418,8.962294689626193,8.962294689626193,2.1468081260752125,-0.5166445424182253,0.0,-0.5166445424182253,-8.150531127659296,-8.150531127659296,-8.150531127659296,0.0,-11.83285700574455,-6.302472091108015,-15.17119984405425,-2.163501854727599,airline_walk_forward_model_v2_model_comparison,derived_summary_comparison,Negative integrated-minus-baseline MAE means the integrated bridge improved on that historical slice; this is diagnostic and does not select a trade direction by itself.,800,800,90
China Eastern Airlines,600115.SH,H1,22.332846341122227,22.332846341122227,12.96894001122132,12.96894001122132,22.332846341122227,40.64210399813857,31.662788146324786,22.489995765231008,17.275082929055348,37.720745954762286,4.37741370983385,9.567610614215992,9.567610614215992,7.872525655525312,7.872525655525312,3.4951119456914617,-1.6950849586906802,0.0,-1.6950849586906802,-9.363906329900907,-9.363906329900907,-9.363906329900907,0.0,-23.367021069083226,-14.387705217269438,-20.44566302570694,-5.21491283617566,airline_walk_forward_model_v2_model_comparison,derived_summary_comparison,Negative integrated-minus-baseline MAE means the integrated bridge improved on that historical slice; this is diagnostic and does not select a trade direction by itself.,800,800,90
China Eastern Airlines,600115.SH,H2,20.788229556284303,20.788229556284303,11.93736006307049,11.93736006307049,20.788229556284303,31.08027607093665,26.21774396014511,22.88404170721266,21.089247505376132,31.875674090818556,9.970162580308404,12.17138309809831,12.17138309809831,13.747302220495465,13.747302220495465,3.7771396401870607,1.5759191223971545,0.0,1.5759191223971545,-8.850869493213814,-8.850869493213814,-8.850869493213814,0.0,-9.99102856556052,-5.128496454768978,-10.786426585442424,-1.7947942018365275,airline_walk_forward_model_v2_model_comparison,derived_summary_comparison,Negative integrated-minus-baseline MAE means the integrated bridge improved on that historical slice; this is diagnostic and does not select a trade direction by itself.,800,800,90
China Southern Airlines,600029.SH,FY,14.832611083324176,14.832611083324176,11.071993729791435,11.071993729791435,14.832611083324176,14.957157577959947,10.170347884521716,21.320019379174106,18.76893464502304,15.411187902742842,5.790150626988882,10.43523856516285,10.43523856516285,8.812787804965946,8.812787804965946,3.0226371779770647,-1.6224507601969034,0.0,-1.6224507601969034,-3.7606173535327407,-3.7606173535327407,-3.7606173535327407,0.0,3.811777067063094,8.598586760501325,3.3577467422801988,-2.5510847341510647,airline_walk_forward_model_v2_model_comparison,derived_summary_comparison,Negative integrated-minus-baseline MAE means the integrated bridge improved on that historical slice; this is diagnostic and does not select a trade direction by itself.,800,800,90
China Southern Airlines,600029.SH,H1,17.46798640436952,17.46798640436952,12.085192710292619,12.085192710292619,17.46798640436952,17.965010247632733,11.424101550834926,21.396806629110507,17.84383649479416,15.303164032440952,4.522418632748848,12.21044612944295,12.21044612944295,11.92339457048165,11.92339457048165,7.4009759377328015,-0.2870515589613003,0.0,-0.2870515589613003,-5.3827936940769,-5.3827936940769,-5.3827936940769,0.0,-0.12117375283857257,6.419734943959234,2.540672462353209,-3.5529701343163467,airline_walk_forward_model_v2_model_comparison,derived_summary_comparison,Negative integrated-minus-baseline MAE means the integrated bridge improved on that historical slice; this is diagnostic and does not select a trade direction by itself.,800,800,90
China Southern Airlines,600029.SH,H2,17.3144170843314,17.3144170843314,11.289906660504462,11.289906660504462,17.3144170843314,16.980058996520818,13.13811618075126,21.361902838652178,20.025051177680943,16.862789707942294,7.468340095109427,10.402966072805345,10.402966072805345,11.255271564336475,11.255271564336475,3.7869314692270475,0.8523054915311299,0.0,0.8523054915311299,-6.024510423826937,-6.024510423826937,-6.024510423826937,0.0,3.0449921811601257,6.886934996929684,3.162261469738649,-1.3368516609712344,airline_walk_forward_model_v2_model_comparison,derived_summary_comparison,Negative integrated-minus-baseline MAE means the integrated bridge improved on that historical slice; this is diagnostic and does not select a trade direction by itself.,800,800,90
Hainan Airlines Holdings,600221.SH,FY,29.071351015633084,29.071351015633084,16.150673521509677,16.150673521509677,29.071351015633084,53.76970089319032,46.21766187204003,23.460027520529625,21.722968025623697,56.97556270603169,5.084107387352152,7.902372786058267,7.902372786058267,7.212095432920116,7.212095432920116,2.1279880455679647,-0.6902773531381508,0.0,-0.6902773531381508,-12.920677494123407,-12.920677494123407,-12.920677494123407,0.0,-32.04673286756662,-24.494693846416336,-35.252594680407995,-1.7370594949059281,airline_walk_forward_model_v2_model_comparison,derived_summary_comparison,Negative integrated-minus-baseline MAE means the integrated bridge improved on that historical slice; this is diagnostic and does not select a trade direction by itself.,800,800,90
Hainan Airlines Holdings,600221.SH,H1,35.02929575255258,35.02929575255258,15.896849987871363,15.896849987871363,35.02929575255258,62.277482692349565,52.1632850414301,23.079494619848546,17.37839802293769,60.62689703299445,5.226475787891738,9.03546091600582,9.03546091600582,10.18643723058256,10.18643723058256,4.9599614426908225,1.1509763145767415,0.0,1.1509763145767415,-19.132445764681215,-19.132445764681215,-19.132445764681215,0.0,-44.89908466941188,-34.78488701849241,-43.24849901005676,-5.701096596910855,airline_walk_forward_model_v2_model_comparison,derived_summary_comparison,Negative integrated-minus-baseline MAE means the integrated bridge improved on that historical slice; this is diagnostic and does not select a trade direction by itself.,800,800,90
