dataset_id,airport,airport_label,observation_month,days_observed,heavy_rain_days,high_wind_days,fog_days,max_precipitation_mm,mean_precipitation_mm,max_wind_kmh,mean_max_temp_c,disruption_flag,source_note,retrieved_at
airline_weather_risk,CAN,Guangzhou Baiyun,2020-01,31,1,0,0,27.1,1.4387096774193548,23.8,22.148387096774197,low,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2020-02,29,1,0,0,52.4,3.710344827586207,30.0,21.824137931034482,low,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2020-03,31,0,0,0,16.7,5.283870967741935,24.5,24.43548387096774,low,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2020-04,30,1,0,0,41.1,4.116666666666666,23.4,25.073333333333334,low,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2020-05,31,3,0,0,78.1,10.977419354838709,25.2,31.50967741935484,moderate,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2020-06,30,6,0,0,77.6,14.213333333333336,25.9,31.580000000000002,high,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2020-07,31,1,0,0,30.0,3.761290322580645,24.2,34.41935483870968,low,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2020-08,31,3,0,0,34.9,10.180645161290323,30.3,31.509677419354837,moderate,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2020-09,30,5,0,0,48.3,13.090000000000002,22.8,30.45,high,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2020-10,31,0,0,0,19.7,1.7225806451612902,26.8,27.451612903225808,low,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2020-11,30,0,0,0,6.6,0.38333333333333325,22.2,26.37,low,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2020-12,31,0,0,0,3.5,0.25161290322580643,34.5,19.49677419354839,low,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2021-01,31,0,0,0,2.7,0.21935483870967745,27.0,19.635483870967743,low,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2021-02,28,1,0,0,34.9,2.2642857142857142,22.2,24.38571428571429,low,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2021-03,31,0,0,0,15.0,1.5935483870967744,24.9,25.86451612903226,low,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2021-04,30,2,0,0,48.7,5.3,21.3,27.976666666666667,moderate,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2021-05,31,2,0,0,44.9,7.506451612903226,20.8,32.39032258064516,moderate,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
airline_weather_risk,CAN,Guangzhou Baiyun,2021-06,30,6,0,0,47.3,12.126666666666667,19.6,31.279999999999998,high,"Monthly aggregate of Open-Meteo daily weather for the airline hub; thresholds are broad aviation-disruption proxies (>=25mm rain, >=40km/h wind, fog codes).  Weather is a risk/execution variable, not an earnings forecast.",2026-08-10T08:21:49.545686+00:00
