dataset_id,snapshot_as_of_date,company,ticker,statement_period,period_end,report_information_date,metric_scope,total_revenue_native_mn,passenger_revenue_native_mn,cargo_revenue_native_mn,passenger_revenue_mix_pct,cargo_revenue_mix_pct,ask_mn_seat_km,rpk_mn_passenger_km,passenger_load_factor_pct,reported_passenger_yield_native,reported_passenger_yield_unit,derived_passenger_yield_native,derived_yield_unit,yield_difference_reported_minus_derived,rask_proxy_native,cask_native,yield_scope,derived_yield_scope,rask_scope,cask_scope,pricing_data_status,pricing_research_caveat,source_url,source_page,source_quality,retrieved_at
airline_yield_pricing_matrix,2026-08-05,Air China,601111.SH,FY2025,2025-12-31,2026-03-27,group_reported,171484.646,154855.779,7778.38,90.30299948836236,4.535904631368571,367641.22,301015.56,81.88,0.5144,RMB/RPK,0.5144444327064023,native currency/RPK,-4.4432706402308675e-05,0.4212144084387491,0.4424,issuer_disclosed_line,same_scope_check_required,derived_group,issuer_disclosed_line,reported_yield_plus_mix_available,"No route-level fare, discount, advance-booking or ancillary-revenue time series is present; passenger yield is issuer-period or derived from passenger revenue/RPK.",https://static.cninfo.com.cn/finalpage/2026-03-27/1225039287.PDF,17.0; 16.0,primary_issuer_driver_layer,2026-08-09T22:52:46.335413+00:00
airline_yield_pricing_matrix,2026-08-05,Air China,601111.SH,1H2025,,2025-08-29,missing,,73196.376,3577.468,,,177576.14,143336.58,80.72,0.5107,RMB/RPK,0.5106608236362274,native currency/RPK,3.9176363772597256e-05,0.412197134142008,0.4412,issuer_disclosed_line,same_scope_check_required,derived_group,issuer_disclosed_line,reported_yield_plus_mix_available,"No route-level fare, discount, advance-booking or ancillary-revenue time series is present; passenger yield is issuer-period or derived from passenger revenue/RPK.",https://static.cninfo.com.cn/finalpage/2025-08-29/1224611848.PDF,12.0; 15.0,primary_issuer_driver_layer,2026-08-09T22:52:46.335413+00:00
airline_yield_pricing_matrix,2026-08-05,China Southern Airlines,600029.SH,FY2025,2025-12-31,2026-03-31,group_reported,182256.0,156688.0,19670.0,85.97138091475726,10.792511631990168,386429.36,331305.73,85.74,0.46,RMB/RPK,0.47294080908289754,native currency/RPK,-0.01294080908289752,0.4054764368835742,0.423829079653782,issuer_disclosed_line,same_scope_check_required,derived_group,derived_group,reported_yield_plus_mix_available,"No route-level fare, discount, advance-booking or ancillary-revenue time series is present; passenger yield is issuer-period or derived from passenger revenue/RPK.",https://static.cninfo.com.cn/finalpage/2026-03-31/1225063223.PDF,16.0; 22.0,primary_issuer_driver_layer,2026-08-09T22:52:46.335413+00:00
airline_yield_pricing_matrix,2026-08-05,China Southern Airlines,600029.SH,1H2025,2025-06-30,2025-08-29,group_reported,86291.0,74570.0,9080.0,86.41689168047652,10.522534215619242,184837.28,157986.19,85.47,0.46,RMB/RPK,0.472003280793087,native currency/RPK,-0.01200328079308699,0.4034359302409124,0.4257149856349325,group_reported,same_scope_check_required,derived_group,derived_group,reported_yield_plus_mix_available,"No route-level fare, discount, advance-booking or ancillary-revenue time series is present; passenger yield is issuer-period or derived from passenger revenue/RPK.",https://static.cninfo.com.cn/finalpage/2025-08-29/1224612089.PDF,16.0; 20.0; 14.0,primary_issuer_driver_layer,2026-08-09T22:52:46.335413+00:00
airline_yield_pricing_matrix,2026-08-05,China Eastern Airlines,600115.SH,FY2025,2025-12-31,2026-03-31,group_reported,139941.0,,,,,316930.52,272103.81,85.86,0.493,RMB/RPK,,,,0.4232699909431253,0.4326311016054875,issuer_disclosed_line,same_scope_check_required,derived_group,derived_group,reported_yield_only,"No route-level fare, discount, advance-booking or ancillary-revenue time series is present; passenger yield is issuer-period or derived from passenger revenue/RPK.",https://static.cninfo.com.cn/finalpage/2026-03-31/1225064857.PDF,32.0,primary_issuer_driver_layer,2026-08-09T22:52:46.335413+00:00
airline_yield_pricing_matrix,2026-08-05,China Eastern Airlines,600115.SH,1H2025,2025-06-30,2025-08-30,group_reported,66822.0,61813.0,2577.0,92.50396575977972,3.8565143216306006,155022.29,131477.9,84.81,0.488,RMB/RPK,0.47013984859812946,native currency/RPK,0.017860151401870528,0.3987362075479597,0.4160756495082094,group_reported,same_scope_check_required,derived_group,derived_group,reported_yield_plus_mix_available,"No route-level fare, discount, advance-booking or ancillary-revenue time series is present; passenger yield is issuer-period or derived from passenger revenue/RPK.",https://static.cninfo.com.cn/finalpage/2025-08-30/1224626126.PDF,14.0; 141.0,primary_issuer_driver_layer,2026-08-09T22:52:46.335413+00:00
airline_yield_pricing_matrix,2026-08-05,Spring Airlines,601021.SH,FY2025,2025-12-31,2026-04-11,group_reported,21459.531429,20937.304189,158.308446,97.56645553176305,0.7377069090430605,61749.0,56519.0999,91.53,0.37,RMB/RPK,0.37044652561779384,native currency/RPK,-0.00044652561779384703,0.3390711459132941,0.3003152248295518,issuer_disclosed_line,same_scope_check_required,derived_group,derived_group,reported_yield_plus_mix_available,"No route-level fare, discount, advance-booking or ancillary-revenue time series is present; passenger yield is issuer-period or derived from passenger revenue/RPK.",https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,31.0; 26.0,primary_issuer_driver_layer,2026-08-09T22:52:46.335413+00:00
airline_yield_pricing_matrix,2026-08-05,Spring Airlines,601021.SH,1H2025,2025-06-30,2025-08-29,group_reported,10304.467333,,,,,29307.9501,26528.9104,90.52,0.377,RMB/RPK,,,,0.3412520898484811,0.303,group_reported,same_scope_check_required,derived_group,group_reported,reported_yield_only,"No route-level fare, discount, advance-booking or ancillary-revenue time series is present; passenger yield is issuer-period or derived from passenger revenue/RPK.",https://static.cninfo.com.cn/finalpage/2025-08-29/1224612122.PDF,14.0; 13.0,primary_issuer_driver_layer,2026-08-09T22:52:46.335413+00:00
airline_yield_pricing_matrix,2026-08-05,Hainan Airlines Holdings,600221.SH,FY2025,2025-12-31,2026-04-18,group_reported,68470.91500000001,60219.702,3231.747,87.94931687417935,4.71988288750048,160503.74,134484.36,83.79,0.4477821956397012,RMB/RPK,0.4477821956397012,native currency/RPK,0.0,0.3751918927247427,0.3938378756781618,derived_group,same_scope_check_required,derived_group,derived_group,reported_yield_plus_mix_available,"No route-level fare, discount, advance-booking or ancillary-revenue time series is present; passenger yield is issuer-period or derived from passenger revenue/RPK.",https://static.cninfo.com.cn/finalpage/2026-04-18/1225119605.PDF,167.0; 14.0,primary_issuer_driver_layer,2026-08-09T22:52:46.335413+00:00
airline_yield_pricing_matrix,2026-08-05,Hainan Airlines Holdings,600221.SH,1H2025,2025-06-30,2025-08-30,group_reported,33083.352,28953.261,1443.056,87.51610477680737,4.361879654758079,77921.27,64480.17,82.75,0.4490258167743664,RMB/RPK,0.4490258167743664,native currency/RPK,0.0,0.3715707020688959,0.39600931812328,derived_group,same_scope_check_required,derived_group,derived_group,reported_yield_plus_mix_available,"No route-level fare, discount, advance-booking or ancillary-revenue time series is present; passenger yield is issuer-period or derived from passenger revenue/RPK.",https://static.cninfo.com.cn/finalpage/2025-08-30/1224624045.PDF,119.0; 12.0,primary_issuer_driver_layer,2026-08-09T22:52:46.335413+00:00
