project_id,registered_transaction_count,registered_sales_value_hkdm,price_p25_hkd,price_median_hkd,price_mean_hkd,price_p75_hkd
ho-man-tin-p2,365,6704.0,11434900.0,16236800.0,18367521.0,24451400.0
lohas-park-p11,589,4897.0,7011800.0,8181800.0,8314790.0,8785100.0
lohas-park-p4a,1044,8703.0,6418700.0,7360550.0,8336492.0,9805950.0
lohas-park-p4b,1127,9582.0,7298500.0,8418400.0,8502605.0,9661950.0
tai-wai,786,8808.0,8218000.0,10136000.0,11206598.0,13186000.0
the-southside-p1,804,16823.0,12728000.0,18086500.0,20924720.0,27125500.0
the-southside-p2,586,14755.0,16028000.0,19003500.0,25178368.0,31053100.0
the-southside-p4,363,5980.0,11622450.0,13953500.0,16475135.0,18583400.0

# ---- confirmation-group take-rate reference ----
group,label,mtr_profit_post_tax_hkdm,known_registered_sales_value_hkdm,missing_member_projects,implied_profit_to_sales_pct,interpretation,source
G2022H1,1H2022 (interim): LP10 + SOUTHLAND + La Marina,7747.0,31578.0,lohas-park-p10,24.5,UPPER-bound 24.5% - missing members shrink the denominator; true profit/sales ratio is lower (e.g. G2022H1 ~17% if LP10 value ~15bn),MTR interim 2022
G2024H2,2H2024 (annual-interim): LP11 bulk + SOUTHSIDE P1/2/4/5 + Ho Man Tin P1,8525.0,10877.0,"the-southside-p5, ho-man-tin-p1",78.4,UPPER-bound 78.4% - missing members shrink the denominator; true profit/sales ratio is lower (e.g. G2022H1 ~17% if LP10 value ~15bn),MTR interim 2024 + annual 2024
G2025H1,1H2025 (interim): Ho Man Tin P1/P2 + SOUTHSIDE P3/P5,5542.0,6704.0,"ho-man-tin-p1, the-southside-p3, the-southside-p5",82.7,UPPER-bound 82.7% - missing members shrink the denominator; true profit/sales ratio is lower (e.g. G2022H1 ~17% if LP10 value ~15bn),MTR interim 2025
