source_agency,document_category,development_id,development_name,phase_name,development_address,document_id,document_serial_no,document_hash,source_document,source_page,date_of_pasp,date_of_asp,date_of_asp_termination,block_name,floor,unit,car_parking_space,transaction_price_hkd,price_revision_details,payment_terms,related_party_flag,is_cancelled,transaction_id,project_id,srpe_development_id,phase_label
SRPE,register_of_transactions,7585,THE SOUTHSIDE,SOUTHLAND,No. 11 Heung Yip Road,,,057307a6b0668492b18289b738242b92305c1642728fade835f0e6b28a9db598,7585_102821.pdf (submitted 2026-06-17T18:31:19.000+08:00),2,2021-05-01,2021-05-07,2023-10-20,"第1座(1A)
TOWER 1 (1A)",22,B,,18462000.0,,"價單第1號 / Price List No. 1
• 見備註7(c)(iv) / See Remark 7(c)(iv)
• 見備註7(d) / See Remark 7(d)
• 見備註7(e) / See Remark 7(e)
• 見備註7(f) / See Remark 7(f)",,True,ccebfa8942ef2cff1b9eee091c7edcc1500ba9a71c427da307532d4da4527d04,the-southside-p1,7585,晉環 (SOUTHLAND)
SRPE,register_of_transactions,7585,THE SOUTHSIDE,SOUTHLAND,No. 11 Heung Yip Road,,,057307a6b0668492b18289b738242b92305c1642728fade835f0e6b28a9db598,7585_102821.pdf (submitted 2026-06-17T18:31:19.000+08:00),2,2021-05-01,2021-05-07,,"第1座(1A)
TOWER 1 (1A)",21,B,,18280000.0,"在08-07-2021，基
於法例第
35(2)(b)條所容許
的原因，售價更改
為$18,388,000
On 08-07-2021,
the price
adjusted to
$18,388,000 due
to the reason
allowed under
section 35(2)(b)
of the Ordinance","價單第1號 / Price List No. 1
• 見備註7(c)(ii), 7(g) / See Remark 7(c)(ii), 7(g)
• 見備註7(d) / See Remark 7(d)
• 見備註7(e) / See Remark 7(e)
• 見備註7(f) / See Remark 7(f)
在08-07-2021，支付條款修改為
On 08-07-2021, the terms of payment adjusted to
價單第1號 / Price List No. 1
• 見備註7(c)(iv) / See Remark 7(c)(iv)
• 見備註7(d) / See Remark 7(d)
• 見備註7(e) / See Remark 7(e)
• 見備註7(f) / See Remark 7(f)",,False,bcf238b1eacf64e38660e712eb99e7aeb515c253856e459a3ac3af7d356fe0cd,the-southside-p1,7585,晉環 (SOUTHLAND)
SRPE,register_of_transactions,7585,THE SOUTHSIDE,SOUTHLAND,No. 11 Heung Yip Road,,,057307a6b0668492b18289b738242b92305c1642728fade835f0e6b28a9db598,7585_102821.pdf (submitted 2026-06-17T18:31:19.000+08:00),2,2021-05-01,2021-05-07,,"第1座(1A)
TOWER 1 (1A)",20,B,,17686000.0,,"價單第1號 / Price List No. 1
• 見備註7(c)(i) / See Remark 7(c)(i)
• 見備註7(d) / See Remark 7(d)
• 見備註7(e) / See Remark 7(e)
• 見備註7(f) / See Remark 7(f)",,False,2429409cb2cbc2990dcff7af1359d7a56966cc2c313a4ee150d048532797e9e3,the-southside-p1,7585,晉環 (SOUTHLAND)
SRPE,register_of_transactions,7585,THE SOUTHSIDE,SOUTHLAND,No. 11 Heung Yip Road,,,057307a6b0668492b18289b738242b92305c1642728fade835f0e6b28a9db598,7585_102821.pdf (submitted 2026-06-17T18:31:19.000+08:00),3,2021-05-01,2021-05-07,,"第1座(1A)
TOWER 1 (1A)",19,B,,18514000.0,,"價單第2號 / Price List No. 2
• 見備註7(c)(i) / See Remark 7(c)(i)
• 見備註7(d) / See Remark 7(d)
• 見備註7(e) / See Remark 7(e)
• 見備註7(f) / See Remark 7(f)",,False,15f09bb9c6da2202d0e53fb70c21db8716a78fefb5121aabefeae6349e6bfac4,the-southside-p1,7585,晉環 (SOUTHLAND)
SRPE,register_of_transactions,7585,THE SOUTHSIDE,SOUTHLAND,No. 11 Heung Yip Road,,,057307a6b0668492b18289b738242b92305c1642728fade835f0e6b28a9db598,7585_102821.pdf (submitted 2026-06-17T18:31:19.000+08:00),3,2021-05-01,2021-05-07,,"第1座(1A)
TOWER 1 (1A)",18,B,,19192000.0,,"價單第2號 / Price List No. 2
• 見備註7(c)(iv) / See Remark 7(c)(iv)
• 見備註7(d) / See Remark 7(d)
• 見備註7(e) / See Remark 7(e)
• 見備註7(f) / See Remark 7(f)",,False,18455a2e62ff355f707309fb42c271fa0969ce69ece08edd9301f72803b95866,the-southside-p1,7585,晉環 (SOUTHLAND)
SRPE,register_of_transactions,7585,THE SOUTHSIDE,SOUTHLAND,No. 11 Heung Yip Road,,,057307a6b0668492b18289b738242b92305c1642728fade835f0e6b28a9db598,7585_102821.pdf (submitted 2026-06-17T18:31:19.000+08:00),3,2021-05-01,2021-05-07,,"第1座(1A)
TOWER 1 (1A)",17,B,,17528000.0,,"價單第1號 / Price List No. 1
• 見備註7(c)(i) / See Remark 7(c)(i)
• 見備註7(d) / See Remark 7(d)
• 見備註7(e) / See Remark 7(e)
• 見備註7(f) / See Remark 7(f)",,False,14def0fdaaf5354a1b9c1411ea90bc58f13d0c72cbace83e4dd7183e91337694,the-southside-p1,7585,晉環 (SOUTHLAND)
SRPE,register_of_transactions,7585,THE SOUTHSIDE,SOUTHLAND,No. 11 Heung Yip Road,,,057307a6b0668492b18289b738242b92305c1642728fade835f0e6b28a9db598,7585_102821.pdf (submitted 2026-06-17T18:31:19.000+08:00),3,2021-05-01,2021-05-07,,"第1座(1A)
TOWER 1 (1A)",16,B,,18115000.0,,"價單第1號 / Price List No. 1
• 見備註7(c)(iv) / See Remark 7(c)(iv)
• 見備註7(d) / See Remark 7(d)
• 見備註7(e) / See Remark 7(e)
• 見備註7(f) / See Remark 7(f)",,False,8bb7758f18c0eb5b3c45f52de5f49d13effd1ce2fb32198b419de5dcfcaf5340,the-southside-p1,7585,晉環 (SOUTHLAND)
SRPE,register_of_transactions,7585,THE SOUTHSIDE,SOUTHLAND,No. 11 Heung Yip Road,,,057307a6b0668492b18289b738242b92305c1642728fade835f0e6b28a9db598,7585_102821.pdf (submitted 2026-06-17T18:31:19.000+08:00),3,2021-05-01,2021-05-07,,"第1座(1A)
TOWER 1 (1A)",15,B,,17423000.0,,"價單第1號 / Price List No. 1
• 見備註7(c)(i) / See Remark 7(c)(i)
• 見備註7(d) / See Remark 7(d)
• 見備註7(e) / See Remark 7(e)
• 見備註7(f) / See Remark 7(f)",,False,35f03c93726e1b22542f3989f5725d32d824fc093e367f289e85a7defe13a388,the-southside-p1,7585,晉環 (SOUTHLAND)
SRPE,register_of_transactions,7585,THE SOUTHSIDE,SOUTHLAND,No. 11 Heung Yip Road,,,057307a6b0668492b18289b738242b92305c1642728fade835f0e6b28a9db598,7585_102821.pdf (submitted 2026-06-17T18:31:19.000+08:00),4,2021-05-01,2021-05-07,,"第1座(1A)
TOWER 1 (1A)",12,B,,17371000.0,,"價單第1號 / Price List No. 1
• 見備註7(c)(i) / See Remark 7(c)(i)
• 見備註7(d) / See Remark 7(d)
• 見備註7(e) / See Remark 7(e)
• 見備註7(f) / See Remark 7(f)",,False,6d8e4a51375e41274519484e7d92d382086e781c59e7c91295c63f204616726c,the-southside-p1,7585,晉環 (SOUTHLAND)
SRPE,register_of_transactions,7585,THE SOUTHSIDE,SOUTHLAND,No. 11 Heung Yip Road,,,057307a6b0668492b18289b738242b92305c1642728fade835f0e6b28a9db598,7585_102821.pdf (submitted 2026-06-17T18:31:19.000+08:00),4,2021-05-01,2021-05-07,,"第1座(1A)
TOWER 1 (1A)",11,B,,18491000.0,,"價單第2號 / Price List No. 2
• 見備註7(c)(iv) / See Remark 7(c)(iv)
• 見備註7(d) / See Remark 7(d)
• 見備註7(e) / See Remark 7(e)
• 見備註7(f) / See Remark 7(f)",,False,815a3059e098c241857622629e5568817418001e4fecf873fc13c65bd56afc00,the-southside-p1,7585,晉環 (SOUTHLAND)
