period_type,year,actual_value_hkdm,source_url,release_source_url,actual_available_at,actual_definition
FY,2019,19938.0,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-20-019-E.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-20-019-E.pdf,2020-03-05,Hong Kong Transport Operations / Total Revenue; calendar year; HK$m
FY,2020,11896.0,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-21-016-E.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-21-016-E.pdf,2021-03-11,Hong Kong Transport Operations / Total Revenue; calendar year; HK$m
FY,2021,13177.0,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-22-020-E.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-22-020-E.pdf,2022-03-10,Hong Kong Transport Operations / Total Revenue; calendar year; HK$m
FY,2022,13404.0,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-23-016-E.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-23-016-E.pdf,2023-03-09,Hong Kong Transport Operations / Total Revenue; calendar year; HK$m
FY,2023,20131.0,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-24-013-E.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-24-013-E.pdf,2024-03-07,Hong Kong Transport Operations / Total Revenue; calendar year; HK$m
FY,2024,23013.0,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-25-013-E.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-25-013-E.pdf,2025-03-06,Hong Kong Transport Operations / Total Revenue; calendar year; HK$m
FY,2025,23595.0,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-26-020-E.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-26-020-E.pdf,2026-03-12,Hong Kong Transport Operations / Total Revenue; calendar year; HK$m
H1,2017,8957.0,https://www.mtr.com.hk/archive/corporate/en/investor/interim2017/EMTRIR17.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-17-067-E.pdf,2017-08-10,Hong Kong Transport Operations / Total Revenue; six months ended 30 June; HK$m
H1,2018,9328.0,https://www.mtr.com.hk/archive/corporate/en/investor/interim2018/EMTRIR18.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-18-070-E.pdf,2018-08-09,Hong Kong Transport Operations / Total Revenue; six months ended 30 June; HK$m
H1,2019,10690.0,https://www.mtr.com.hk/archive/corporate/en/investor/interim2019/EMTRIR19.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-19-047-E.pdf,2019-08-08,Hong Kong Transport Operations / Total Revenue; six months ended 30 June; HK$m
H1,2020,6234.0,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-20-052-E.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-20-052-E.pdf,2020-08-06,Hong Kong Transport Operations / Total Revenue; six months ended 30 June; HK$m
H1,2021,6004.0,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-21-053-E.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-21-053-E.pdf,2021-08-12,Hong Kong Transport Operations / Total Revenue; six months ended 30 June; HK$m
H1,2022,5815.0,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-22-057-E.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-22-057-E.pdf,2022-08-11,Hong Kong Transport Operations / Total Revenue; six months ended 30 June; HK$m
H1,2023,9342.0,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-23-054-E.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-23-054-E.pdf,2023-08-10,Hong Kong Transport Operations / Total Revenue; six months ended 30 June; HK$m
H1,2024,11138.0,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-24-049-E.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-24-049-E.pdf,2024-08-15,Hong Kong Transport Operations / Total Revenue; six months ended 30 June; HK$m
H1,2025,11509.0,https://www.mtr.com.hk/archive/corporate/en/investor/interim2025/2025IR_Eng.pdf,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-25-059-E.pdf,2025-08-14,Hong Kong Transport Operations / Total Revenue; six months ended 30 June; HK$m
