usage_date,provider_slug,provider_name,model_permaslug,total_tokens,prompt_tokens,completion_tokens,estimated_revenue,pricing_snapshot_ts,pricing_prompt,pricing_completion,pricing_join_status
2026-01-16,anthropic,Anthropic,anthropic/claude-3-5-haiku,1413208387.0,0.0,0.0,1234.5788468832,2026-04-19T13:39:19Z,8e-07,4e-06,matched_model_median
2026-01-16,anthropic,Anthropic,anthropic/claude-3-7-sonnet-20250219,4092200407.0,0.0,0.0,13406.048533332,2026-04-19T13:39:19Z,3e-06,1.5e-05,matched_model_median
2026-01-16,anthropic,Anthropic,anthropic/claude-3-7-sonnet-20250219:thinking,259786827.0,0.0,0.0,851.0616452520001,2026-04-19T13:39:19Z,3e-06,1.5e-05,matched_model_median
2026-01-16,anthropic,Anthropic,anthropic/claude-3-haiku,279497073.0,0.0,0.0,76.302700929,2026-04-19T13:39:19Z,2.5e-07,1.25e-06,matched_model_median
2026-01-16,anthropic,Anthropic,anthropic/claude-3.5-sonnet,740557925.0,0.0,0.0,2426.0677623,2026-04-19T13:39:19Z,3e-06,1.5e-05,fallback_provider_median
2026-01-16,anthropic,Anthropic,anthropic/claude-4-sonnet-20250522,7061855096.0,0.0,0.0,23134.637294496002,2026-04-19T13:39:19Z,3e-06,1.5e-05,matched_model_median
2026-01-16,anthropic,Anthropic,anthropic/claude-4.5-haiku-20251001,12384180903.0,0.0,0.0,13523.525546075998,2026-04-19T13:39:19Z,1e-06,5e-06,matched_model_median
2026-01-16,anthropic,Anthropic,anthropic/claude-4.5-opus-20251124,61841747256.0,0.0,0.0,337655.94001776003,2026-04-19T13:39:19Z,5e-06,2.5e-05,matched_model_median
2026-01-16,anthropic,Anthropic,anthropic/claude-4.5-sonnet-20250929,90339781719.0,0.0,0.0,295953.124911444,2026-04-19T13:39:19Z,3e-06,1.5e-05,matched_model_median
2026-01-16,deepseek,DeepSeek,deepseek/deepseek-chat-v3-0324,14818730925.0,0.0,0.0,3158.0197474267497,2026-04-19T13:39:19Z,2e-07,7.7e-07,matched_model_median
2026-01-16,deepseek,DeepSeek,deepseek/deepseek-chat-v3.1,12997695718.0,0.0,0.0,2129.0225586084,2026-04-19T13:39:19Z,1.5e-07,7.5e-07,matched_model_median
2026-01-16,deepseek,DeepSeek,deepseek/deepseek-r1,821176549.0,0.0,0.0,525.2861089815749,2026-04-19T13:39:19Z,6e-07,2.325e-06,matched_model_median
2026-01-16,deepseek,DeepSeek,deepseek/deepseek-r1-0528,1712633584.0,0.0,0.0,1095.5288878452,2026-04-19T13:39:19Z,6e-07,2.325e-06,matched_model_median
2026-01-16,deepseek,DeepSeek,deepseek/deepseek-r1-0528:free,1664818412.0,0.0,0.0,1064.9427176960999,2026-04-19T13:39:19Z,6e-07,2.325e-06,matched_model_median
2026-01-16,deepseek,DeepSeek,deepseek/deepseek-r1-distill-llama-70b,279920142.0,0.0,0.0,196.5879157266,2026-04-19T13:39:19Z,7e-07,8e-07,matched_model_median
2026-01-16,deepseek,DeepSeek,deepseek/deepseek-v3.1-terminus,1984326218.0,0.0,0.0,443.17941752812004,2026-04-19T13:39:19Z,2.1e-07,7.9e-07,matched_model_median
2026-01-16,deepseek,DeepSeek,deepseek/deepseek-v3.2-20251201,55909505966.0,0.0,0.0,14690.78178762616,2026-04-19T13:39:19Z,2.6e-07,3.8e-07,matched_model_median
2026-01-16,deepseek,DeepSeek,deepseek/deepseek-v3.2-exp,2875860826.0,0.0,0.0,785.74269487972,2026-04-19T13:39:19Z,2.7e-07,4.1e-07,matched_model_median
2026-01-16,google,Google,google/gemini-2.0-flash-001,24019347001.0,0.0,0.0,2567.6681944069,2026-04-19T13:39:19Z,1e-07,4e-07,matched_model_median
2026-01-16,google,Google,google/gemini-2.0-flash-lite-001,3898412483.0,0.0,0.0,312.555220824525,2026-04-19T13:39:19Z,7.5e-08,3e-07,matched_model_median
2026-01-16,google,Google,google/gemini-2.5-flash,59224690265.0,0.0,0.0,20764.176406909,2026-04-19T13:39:19Z,3e-07,2.5e-06,matched_model_median
2026-01-16,google,Google,google/gemini-2.5-flash-lite,39867637662.0,0.0,0.0,4261.8504660678,2026-04-19T13:39:19Z,1e-07,4e-07,matched_model_median
2026-01-16,google,Google,google/gemini-2.5-flash-lite-preview-09-2025,9502017517.0,0.0,0.0,1015.7656725672999,2026-04-19T13:39:19Z,1e-07,4e-07,matched_model_median
2026-01-16,google,Google,google/gemini-2.5-pro,47014763943.0,0.0,0.0,68230.17617227876,2026-04-19T13:39:19Z,1.25e-06,1e-05,matched_model_median
2026-01-16,google,Google,google/gemini-3-flash-preview-20251217,66642399508.0,0.0,0.0,37153.137725709996,2026-04-19T13:39:19Z,5e-07,3e-06,matched_model_median
2026-01-16,google,Google,google/gemini-3-pro-preview-20251117,42522707167.0,0.0,0.0,11853.20462280125,2026-04-19T13:39:19Z,2.5e-07,6.5e-07,fallback_provider_median
2026-01-16,google,Google,google/gemma-3-27b-it,2582801957.0,0.0,0.0,211.37651216088003,2026-04-19T13:39:19Z,8e-08,1.6e-07,matched_model_median
2026-01-16,meta-llama,Meta (Llama),meta-llama/llama-3.1-70b-instruct,400344871.0,0.0,0.0,160.1379484,2026-04-19T13:39:19Z,4e-07,4e-07,matched_model_median
2026-01-16,meta-llama,Meta (Llama),meta-llama/llama-3.1-8b-instruct,3645215910.0,0.0,0.0,75.4195171779,2026-04-19T13:39:19Z,2e-08,5e-08,matched_model_median
2026-01-16,meta-llama,Meta (Llama),meta-llama/llama-3.2-11b-vision-instruct,319982864.0,0.0,0.0,78.39580167999999,2026-04-19T13:39:19Z,2.45e-07,2.45e-07,matched_model_median
2026-01-16,meta-llama,Meta (Llama),meta-llama/llama-3.2-3b-instruct,947451441.0,0.0,0.0,54.617733219327,2026-04-19T13:39:19Z,5.1e-08,3.4e-07,matched_model_median
