dataset_id,source_url,source_run_id,scraped_at,week_label,week_start_date,entity_id,entity_name,parent_entity_id,parent_entity_name,metric_name,metric_unit,metric_value,rank,category_slug,app_id,app_name,origin_url,main_url,description,categories,group_by_origin,is_private,is_hidden,created_at,scrape_date,usage_date,model_permaslug,total_tokens,snapshot_date,observed_at,period,tokens,growth_percent,prompt_tokens,completion_tokens,reasoning_tokens,request_count
openrouter_model_activity,https://openrouter.ai/nvidia/nemotron-3-nano-30b-a3b/activity,20260416T134419Z-9c52eb4a,2026-04-16T13:44:19.107590Z,,,,,,,,,,22,marketing/seo,,,,,,,,,,,,2026-04-13,nvidia/nemotron-3-nano-30b-a3b,593250.0,,,,,,579000.0,14250.0,,319
openrouter_model_activity,https://openrouter.ai/liquid/lfm-2-24b-a2b-20260224/activity,20260416T134419Z-9c52eb4a,2026-04-16T13:44:19.107590Z,,,,,,,,,,38,translation,,,,,,,,,,,,2026-04-14,liquid/lfm-2-24b-a2b-20260224,1131700.0,,,,,,959950.0,171750.0,,310
openrouter_model_activity,https://openrouter.ai/qwen/qwen3.5-122b-a10b-20260224/activity,20260416T134419Z-9c52eb4a,2026-04-16T13:44:19.107590Z,,,,,,,,,,37,trivia,,,,,,,,,,,,2026-04-14,qwen/qwen3.5-122b-a10b-20260224,199050.0,,,,,,36900.0,162150.0,,132
openrouter_model_activity,https://openrouter.ai/anthropic/claude-3-haiku/activity,20260416T134419Z-9c52eb4a,2026-04-16T13:44:19.107590Z,,,,,,,,,,50,trivia,,,,,,,,,,,,2026-04-15,anthropic/claude-3-haiku,111245.0,,,,,,104620.0,6625.0,,78
openrouter_model_activity,https://openrouter.ai/anthropic/claude-4-sonnet-20250522/activity,20260416T134419Z-9c52eb4a,2026-04-16T13:44:19.107590Z,,,,,,,,,,39,academia,,,,,,,,,,,,2026-04-15,anthropic/claude-4-sonnet-20250522,1567989.0,,,,,,1428230.0,139759.0,,262
openrouter_model_activity,https://openrouter.ai/anthropic/claude-4-sonnet-20250522/activity,20260416T134419Z-9c52eb4a,2026-04-16T13:44:19.107590Z,,,,,,,,,,42,finance,,,,,,,,,,,,2026-04-15,anthropic/claude-4-sonnet-20250522,2983446.0,,,,,,2840070.0,143376.0,,556
openrouter_model_activity,https://openrouter.ai/anthropic/claude-4-sonnet-20250522/activity,20260416T134419Z-9c52eb4a,2026-04-16T13:44:19.107590Z,,,,,,,,,,35,health,,,,,,,,,,,,2026-04-15,anthropic/claude-4-sonnet-20250522,1406712.0,,,,,,1212891.0,193821.0,,259
openrouter_model_activity,https://openrouter.ai/anthropic/claude-4-sonnet-20250522/activity,20260416T134419Z-9c52eb4a,2026-04-16T13:44:19.107590Z,,,,,,,,,,27,marketing,,,,,,,,,,,,2026-04-15,anthropic/claude-4-sonnet-20250522,1190508.0,,,,,,1095398.0,95110.0,,266
openrouter_model_activity,https://openrouter.ai/anthropic/claude-4-sonnet-20250522/activity,20260416T134419Z-9c52eb4a,2026-04-16T13:44:19.107590Z,,,,,,,,,,44,marketing/seo,,,,,,,,,,,,2026-04-15,anthropic/claude-4-sonnet-20250522,213792.0,,,,,,138260.0,75532.0,,61
openrouter_model_activity,https://openrouter.ai/anthropic/claude-4-sonnet-20250522/activity,20260416T134419Z-9c52eb4a,2026-04-16T13:44:19.107590Z,,,,,,,,,,40,programming,,,,,,,,,,,,2026-04-15,anthropic/claude-4-sonnet-20250522,19634219.0,,,,,,19171944.0,462275.0,,787
