dataset_id,source_url,source_run_id,scraped_at,week_label,week_start_date,entity_id,entity_name,parent_entity_id,parent_entity_name,metric_name,metric_unit,metric_value,rank,category_slug,app_id,app_name,origin_url,main_url,description,categories,group_by_origin,is_private,is_hidden,created_at,scrape_date,usage_date,model_permaslug,total_tokens,snapshot_date,observed_at,period,tokens,growth_percent,prompt_tokens,completion_tokens,reasoning_tokens,request_count
top_models,https://openrouter.ai/rankings,20260404T120606Z-ef7072ee,2026-04-04T12:06:06.720967Z,2025-04-07,2025-04-07,Others,Others,,,tokens,tokens,651492821830.0,1,,,,,,,,,,,,,,,,,,,,,,,,
top_models,https://openrouter.ai/rankings,20260404T120606Z-ef7072ee,2026-04-04T12:06:06.720967Z,2025-04-07,2025-04-07,anthropic/claude-3-7-sonnet-20250219,anthropic/claude-3-7-sonnet-20250219,anthropic,anthropic,tokens,tokens,365213098407.0,2,,,,,,,,,,,,,,,,,,,,,,,,
top_models,https://openrouter.ai/rankings,20260404T120606Z-ef7072ee,2026-04-04T12:06:06.720967Z,2025-04-07,2025-04-07,google/gemini-2.0-flash-001,google/gemini-2.0-flash-001,google,google,tokens,tokens,259037037316.0,3,,,,,,,,,,,,,,,,,,,,,,,,
top_models,https://openrouter.ai/rankings,20260404T120606Z-ef7072ee,2026-04-04T12:06:06.720967Z,2025-04-07,2025-04-07,openai/gpt-4o-mini,openai/gpt-4o-mini,openai,openai,tokens,tokens,214582505030.0,4,,,,,,,,,,,,,,,,,,,,,,,,
top_models,https://openrouter.ai/rankings,20260404T120606Z-ef7072ee,2026-04-04T12:06:06.720967Z,2025-04-07,2025-04-07,openrouter/quasar-alpha,openrouter/quasar-alpha,openrouter,openrouter,tokens,tokens,208564475439.0,5,,,,,,,,,,,,,,,,,,,,,,,,
top_models,https://openrouter.ai/rankings,20260404T120606Z-ef7072ee,2026-04-04T12:06:06.720967Z,2025-04-07,2025-04-07,google/gemini-2.5-pro-exp-03-25:free,google/gemini-2.5-pro-exp-03-25:free,google,google,tokens,tokens,143541599625.0,6,,,,,,,,,,,,,,,,,,,,,,,,
top_models,https://openrouter.ai/rankings,20260404T120606Z-ef7072ee,2026-04-04T12:06:06.720967Z,2025-04-07,2025-04-07,openrouter/optimus-alpha,openrouter/optimus-alpha,openrouter,openrouter,tokens,tokens,118821274016.0,7,,,,,,,,,,,,,,,,,,,,,,,,
top_models,https://openrouter.ai/rankings,20260404T120606Z-ef7072ee,2026-04-04T12:06:06.720967Z,2025-04-07,2025-04-07,deepseek/deepseek-chat-v3-0324:free,deepseek/deepseek-chat-v3-0324:free,deepseek,deepseek,tokens,tokens,99443955760.0,8,,,,,,,,,,,,,,,,,,,,,,,,
top_models,https://openrouter.ai/rankings,20260404T120606Z-ef7072ee,2026-04-04T12:06:06.720967Z,2025-04-07,2025-04-07,google/gemini-2.5-pro-preview-03-25,google/gemini-2.5-pro-preview-03-25,google,google,tokens,tokens,63633803592.0,9,,,,,,,,,,,,,,,,,,,,,,,,
top_models,https://openrouter.ai/rankings,20260404T120606Z-ef7072ee,2026-04-04T12:06:06.720967Z,2025-04-07,2025-04-07,anthropic/claude-3-7-sonnet-20250219:thinking,anthropic/claude-3-7-sonnet-20250219:thinking,anthropic,anthropic,tokens,tokens,58791820322.0,10,,,,,,,,,,,,,,,,,,,,,,,,
