normalized_mineral_id,mineral_name,tracking_split,trackability_grade,price_source_type,price_symbol_or_series_id,is_active_for_v1
aluminum,Aluminum,already_tracked,direct,yfinance_futures,ALI=F,True
antimony,Antimony,already_tracked,proxy,yfinance_futures,HG=F,True
cobalt,Cobalt,already_tracked,direct,investing_html,https://www.investing.com/commodities/cobalt-historical-data,True
copper,Copper,already_tracked,direct,yfinance_futures,HG=F,True
gallium,Gallium,already_tracked,direct,investing_html,https://www.investing.com/commodities/gallium-99.99-min-united-states-futures-historical-data,True
germanium,Germanium,already_tracked,direct,investing_html,https://www.investing.com/commodities/germanium-99.99-min-china-futures-historical-data,True
graphite,Graphite,already_tracked,proxy,yfinance_futures,LIT,True
indium,Indium,already_tracked,direct,investing_html,https://www.investing.com/commodities/indium-99.99-min-united-states-futures-historical-data,True
lead,Lead,already_tracked,direct,fred_series,PLEADUSDM,True
lithium,Lithium,already_tracked,proxy,yfinance_futures,LIT,True
manganese,Manganese,already_tracked,proxy,yfinance_futures,S32.AX,True
neodymium,Neodymium,already_tracked,proxy,yfinance_futures,REMX,True
nickel,Nickel,already_tracked,direct,yfinance_futures,NIY=F,True
palladium,Palladium,already_tracked,direct,yfinance_futures,PA=F,True
platinum,Platinum,already_tracked,direct,yfinance_futures,PL=F,True
silicon,Silicon,already_tracked,proxy,yfinance_futures,GSM,True
silver,Silver,already_tracked,direct,yfinance_futures,SI=F,True
tantalum,Tantalum,already_tracked,proxy,yfinance_futures,AMG.AS,True
tin,Tin,already_tracked,direct,fred_series,PTINUSDM,True
uranium,Uranium,already_tracked,proxy,yfinance_futures,URA,True
vanadium,Vanadium,already_tracked,proxy,yfinance_futures,LGO,True
zinc,Zinc,already_tracked,direct,fred_series,PZINCUSDM,True
arsenic,Arsenic,paywalled_or_impractical,unsupported,manual_proxy,,False
barite,Barite,paywalled_or_impractical,unsupported,manual_proxy,,False
beryllium,Beryllium,paywalled_or_impractical,unsupported,manual_proxy,,False
bismuth,Bismuth,paywalled_or_impractical,unsupported,manual_proxy,,False
boron,Boron,paywalled_or_impractical,unsupported,manual_proxy,,False
cesium,Cesium,paywalled_or_impractical,unsupported,manual_proxy,,False
erbium,Erbium,paywalled_or_impractical,unsupported,manual_proxy,,False
hafnium,Hafnium,paywalled_or_impractical,unsupported,manual_proxy,,False
holmium,Holmium,paywalled_or_impractical,unsupported,manual_proxy,,False
iridium,Iridium,paywalled_or_impractical,unsupported,manual_proxy,,False
lutetium,Lutetium,paywalled_or_impractical,unsupported,manual_proxy,,False
rhenium,Rhenium,paywalled_or_impractical,unsupported,manual_proxy,,False
rhodium,Rhodium,paywalled_or_impractical,unsupported,manual_proxy,,False
rubidium,Rubidium,paywalled_or_impractical,unsupported,manual_proxy,,False
ruthenium,Ruthenium,paywalled_or_impractical,unsupported,manual_proxy,,False
thulium,Thulium,paywalled_or_impractical,unsupported,manual_proxy,,False
titanium,Titanium,paywalled_or_impractical,unsupported,manual_proxy,,False
ytterbium,Ytterbium,paywalled_or_impractical,unsupported,manual_proxy,,False
zirconium,Zirconium,paywalled_or_impractical,unsupported,manual_proxy,,False
cerium,Cerium,proxy_index,unsupported,manual_proxy,,False
chromium,Chromium,proxy_index,unsupported,manual_proxy,,False
dysprosium,Dysprosium,proxy_index,unsupported,manual_proxy,,False
europium,Europium,proxy_index,unsupported,manual_proxy,,False
fluorspar,Fluorspar,proxy_index,unsupported,manual_proxy,,False
gadolinium,Gadolinium,proxy_index,unsupported,manual_proxy,,False
lanthanum,Lanthanum,proxy_index,unsupported,manual_proxy,,False
magnesium,Magnesium,proxy_index,unsupported,manual_proxy,,False
metallurgical_coal,Metallurgical coal,proxy_index,unsupported,manual_proxy,,False
niobium,Niobium,proxy_index,unsupported,manual_proxy,,False
phosphate_rock,Phosphate rock,proxy_index,unsupported,manual_proxy,,False
potash,Potash,proxy_index,unsupported,manual_proxy,,False
praseodymium,Praseodymium,proxy_index,unsupported,manual_proxy,,False
samarium,Samarium,proxy_index,unsupported,manual_proxy,,False
scandium,Scandium,proxy_index,unsupported,manual_proxy,,False
tellurium,Tellurium,proxy_index,unsupported,manual_proxy,,False
terbium,Terbium,proxy_index,unsupported,manual_proxy,,False
tungsten,Tungsten,proxy_index,unsupported,manual_proxy,,False
yttrium,Yttrium,proxy_index,unsupported,manual_proxy,,False
