date,molybdenum_concentrate,ferromolybdenum,ammonium_heptamolybdate,ammonium_tetramolybdate,source,title,url
2025-03-04,,218000.0,205000.0,,chinatungsten,"Molybdenum Market Update - March 4, 2025",http://news.chinatungsten.com/en/tungsten-product-news/168577-tpn-13586.html
2025-03-05,,217000.0,205000.0,,chinatungsten,"Molybdenum Market Update - March 5, 2025",http://news.chinatungsten.com/en/tungsten-product-news/168593-tpn-13587.html
2025-03-06,,216000.0,217000.0,,chinatungsten,"Molybdenum Market Update - March 6, 2025",http://news.chinatungsten.com/en/tungsten-product-news/168644-tpn-13594.html
2025-03-07,,215000.0,216000.0,,chinatungsten,"Molybdenum Market Update - March 7, 2025",http://news.chinatungsten.com/en/tungsten-product-news/168682-tpn-13596.html
2025-03-11,,214000.0,215000.0,,chinatungsten,"Molybdenum Market Update - March 11, 2025",http://news.chinatungsten.com/en/tungsten-product-news/168776-tpn-13604.html
2025-03-14,,213000.0,211000.0,,chinatungsten,"Molybdenum Market Update - March 14, 2025",http://news.chinatungsten.com/en/tungsten-product-news/168846-tpn-13611.html
2025-03-17,,213000.0,211000.0,,chinatungsten,"Molybdenum Market Update - March 17, 2025",http://news.chinatungsten.com/en/tungsten-product-news/168885-tpn-13617.html
2025-03-18,,210000.0,211000.0,,chinatungsten,"Molybdenum Market Update - March 18, 2025",http://news.chinatungsten.com/en/tungsten-product-news/168920-tpn-13622.html
2025-03-19,,210000.0,211000.0,,chinatungsten,"Molybdenum Market Update - March 19, 2025",http://news.chinatungsten.com/en/tungsten-product-news/168965-tpn-13624.html
2025-03-20,,210000.0,211000.0,,chinatungsten,"Molybdenum Market Update - March 20, 2025",http://news.chinatungsten.com/en/tungsten-product-news/168981-tpn-13625.html
2025-03-21,,209000.0,208000.0,,chinatungsten,"Molybdenum Market Update - March 21, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169033-tpn-13630.html
2025-03-24,,209000.0,208000.0,,chinatungsten,"Molybdenum Market Update - March 24, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169066-tpn-13632.html
2025-03-25,,210000.0,208000.0,,chinatungsten,"Molybdenum Market Update - March 25, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169104-tpn-13637.html
2025-03-26,,213000.0,209000.0,,chinatungsten,"Molybdenum Market Update - March 26, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169143-tpn-13639.html
2025-03-27,,213000.0,,,chinatungsten,"Molybdenum Market Update - March 27, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169154-tpn-13641.html
2025-03-28,,213000.0,,,chinatungsten,"Molybdenum Market Update - March 28, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169167-tpn-13643.html
2025-03-31,,213000.0,,,chinatungsten,"Molybdenum Market Update - March 31, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169201-tpn-13649.html
2025-04-02,,213000.0,,,chinatungsten,"Molybdenum Market Update - April 2, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169225-tpn-13653.html
2025-04-03,,213000.0,,,chinatungsten,"Molybdenum Market Update - April 3, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169267-tpn-13655.html
2025-04-07,,213000.0,210000.0,,chinatungsten,"Molybdenum Market Update - April 7, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169312-tpn-13661.html
2025-04-08,,213000.0,,,chinatungsten,"Molybdenum Market Update - April 8, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169351-tpn-13663.html
2025-04-09,,213000.0,,,chinatungsten,"Molybdenum Market Update - April 9, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169416-tpn-13665.html
2025-04-11,,210000.0,210000.0,,chinatungsten,"Molybdenum Market Update - April 11, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169526-tpn-13668.html
2025-04-14,,203000.0,208000.0,,chinatungsten,"Molybdenum Market Update - April 14, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169564-tpn-13672.html
2025-04-15,,,207000.0,,chinatungsten,"Molybdenum Market Update - April 15, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169614-tpn-13673.html
2025-04-16,,,207000.0,,chinatungsten,"Molybdenum Market Update - April 16, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169637-tpn-13678.html
2025-04-17,,,210000.0,,chinatungsten,"Molybdenum Market Update - April 17, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169675-tpn-13682.html
2025-04-18,,201000.0,207000.0,,chinatungsten,"Molybdenum Market Update - April 18, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169682-tpn-13683.html
2025-04-21,,203000.0,210000.0,,chinatungsten,"Molybdenum Market Update - April 21, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169839-tpn-13694.html
2025-04-22,,203000.0,208000.0,,chinatungsten,"Molybdenum Market Update - April 22, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169845-tpn-13695.html
2025-04-23,,205000.0,209000.0,,chinatungsten,"Molybdenum Market Update - April 23, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169851-tpn-13696.html
2025-04-24,,206000.0,209000.0,,chinatungsten,"Molybdenum Market Update - April 24, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169898-tpn-13698.html
2025-04-25,,208000.0,209000.0,,chinatungsten,"Molybdenum Market Update - April 25, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169955-tpn-13703.html
2025-04-27,,213000.0,209000.0,,chinatungsten,"Molybdenum Market Update - April 27, 2025",http://news.chinatungsten.com/en/tungsten-product-news/169993-tpn-13702.html
2025-04-28,,214000.0,209000.0,,chinatungsten,"Molybdenum Market Update - April 28, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170072-tpn-13707.html
2025-04-29,,215000.0,210000.0,,chinatungsten,"Molybdenum Market Update - April 29, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170087-tpn-13708.html
2025-05-06,,217000.0,217000.0,,chinatungsten,"Molybdenum Market Update - May 6, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170161-tpn-13712.html
2025-05-07,,221000.0,214000.0,,chinatungsten,"Molybdenum Market Update - May 7, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170194-tpn-13714.html
2025-05-08,,,217000.0,,chinatungsten,"Molybdenum Market Update - May 8, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170226-tpn-13716.html
2025-05-09,,219000.0,214000.0,,chinatungsten,"Molybdenum Market Update - May 9, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170240-tpn-13717.html
2025-05-12,,219000.0,215000.0,,chinatungsten,"Molybdenum Market Update - May 12, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170258-tpn-13721.html
2025-05-14,,220000.0,,,chinatungsten,"Molybdenum Market Update - May 14, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170338-tpn-13725.html
2025-05-15,,220000.0,,,chinatungsten,"Molybdenum Market Update - May 15, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170348-tpn-13727.html
2025-05-16,,220000.0,215000.0,,chinatungsten,"Molybdenum Market Update - May 16, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170370-tpn-13728.html
2025-05-19,,220000.0,215000.0,,chinatungsten,"Molybdenum Market Update - May 19, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170419-tpn-13731.html
2025-05-20,,220000.0,215000.0,,chinatungsten,"Molybdenum Market Update - May 20, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170457-tpn-11621.html
2025-05-23,,225000.0,,,chinatungsten,"Molybdenum Market Price - May 23, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170569-tpn-11627.html
2025-05-26,,229000.0,,,chinatungsten,"Molybdenum Market Price - May 26, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170582-tpn-11630.html
2025-05-27,,230000.0,222000.0,,chinatungsten,"Molybdenum Market - May 27, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170615-tpn-11632.html
2025-05-28,,243000.0,235000.0,,chinatungsten,"Molybdenum Market - May 28, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170674-tpn-11634.html
2025-05-29,,238000.0,,,chinatungsten,"Molybdenum Market - May 29, 2025",http://news.chinatungsten.com/en/tungsten-product-news/170701-tpn-11635.html
