mineral_name,normalized_mineral_id,ticker_raw,ticker_normalized,market,exposure_purity,mapping_note,is_primary_exposure,importance_rank,importance_tier
Aluminum,aluminum,000807.SZ,000807.SZ,CN_A,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,000933.SZ,000933.SZ,CN_A,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,601600.SH,601600.SH,CN_A,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,1378.HK,1378.HK,HK,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,2600.HK,2600.HK,HK,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,AA,AA,US,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,CENX,CENX,US,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,KALU,KALU,US,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Antimony,antimony,002155.SZ,002155.SZ,CN_A,Primary for UAMY/Hunan Gold; byproduct for others,"China/HK exposure is stronger than US except UAMY, which is small-cap/high beta.",False,16,Tier 2 - very high
Antimony,antimony,600497.SH,600497.SH,CN_A,Primary for UAMY/Hunan Gold; byproduct for others,"China/HK exposure is stronger than US except UAMY, which is small-cap/high beta.",False,16,Tier 2 - very high
Antimony,antimony,601020.SH,601020.SH,CN_A,Primary for UAMY/Hunan Gold; byproduct for others,"China/HK exposure is stronger than US except UAMY, which is small-cap/high beta.",False,16,Tier 2 - very high
Antimony,antimony,UAMY,UAMY,US,Primary for UAMY/Hunan Gold; byproduct for others,"China/HK exposure is stronger than US except UAMY, which is small-cap/high beta.",True,16,Tier 2 - very high
Copper,copper,000630.SZ,000630.SZ,CN_A,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,600362.SH,600362.SH,CN_A,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,601899.SH,601899.SH,CN_A,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,603993.SH,603993.SH,CN_A,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,0358.HK,0358.HK,HK,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,2899.HK,2899.HK,HK,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,3993.HK,3993.HK,HK,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
Copper,copper,FCX,FCX,US,Primary copper exposure,Copper has broad liquid public-equity coverage in both China/HK and US.,False,46,Tier 4 - moderate
