ticker_normalized,market,as_of_date,stock_signal_score,linked_mineral_count,direct_signal_count,proxy_signal_count,is_tradeable_signal
000408.SZ,CN_A,2022-01-08,0.0,1,0,1,False
000630.SZ,CN_A,2022-01-08,0.0,1,1,0,False
000792.SZ,CN_A,2022-01-08,0.0,1,0,1,False
000807.SZ,CN_A,2022-01-08,0.0,1,1,0,False
000831.SZ,CN_A,2022-01-08,0.0,1,0,1,False
000933.SZ,CN_A,2022-01-08,0.0,1,1,0,False
000970.SZ,CN_A,2022-01-08,0.0,1,0,1,False
002340.SZ,CN_A,2022-01-08,0.0,1,1,0,False
002460.SZ,CN_A,2022-01-08,0.0,1,0,1,False
002466.SZ,CN_A,2022-01-08,0.0,1,0,1,False
0358.HK,HK,2022-01-08,0.0,1,1,0,False
0815.HK,HK,2022-01-08,0.0,1,1,0,False
1164.HK,HK,2022-01-08,0.0,1,0,1,False
1378.HK,HK,2022-01-08,0.0,1,1,0,False
1772.HK,HK,2022-01-08,0.0,1,0,1,False
2302.HK,HK,2022-01-08,0.0,1,0,1,False
2362.HK,HK,2022-01-08,0.0,3,3,0,False
2600.HK,HK,2022-01-08,0.0,1,1,0,False
2899.HK,HK,2022-01-08,0.0,4,4,0,False
300748.SZ,CN_A,2022-01-08,0.0,1,0,1,False
300919.SZ,CN_A,2022-01-08,0.0,1,1,0,False
3993.HK,HK,2022-01-08,0.0,1,1,0,False
600111.SH,CN_A,2022-01-08,0.0,1,0,1,False
600362.SH,CN_A,2022-01-08,0.0,1,1,0,False
600366.SH,CN_A,2022-01-08,0.0,1,0,1,False
600392.SH,CN_A,2022-01-08,0.0,1,0,1,False
600531.SH,CN_A,2022-01-08,0.0,1,1,0,False
601600.SH,CN_A,2022-01-08,0.0,1,1,0,False
601899.SH,CN_A,2022-01-08,0.0,4,4,0,False
601985.SH,CN_A,2022-01-08,0.0,1,0,1,False
603799.SH,CN_A,2022-01-08,0.0,1,1,0,False
603993.SH,CN_A,2022-01-08,0.0,1,1,0,False
6680.HK,HK,2022-01-08,0.0,1,0,1,False
