normalized_mineral_id,mineral_name,trackability_grade,price_source_type,price_symbol_or_series_id,price_currency,price_unit,publish_lag_assumption_days,is_active_for_v1,proxy_target,proxy_type,proxy_instrument,proxy_display_name,has_fetched_history,history_row_count,fetch_status
aluminum,Aluminum,direct,yfinance_futures,ALI=F,USD,metric ton,1,True,,,,,True,1143,fetched
antimony,Antimony,proxy,yfinance_futures,HG=F,USD,lb,2,True,copper,commodity_cross_proxy,HG=F,COMEX Copper Futures,True,1145,fetched
copper,Copper,direct,yfinance_futures,HG=F,USD,lb,1,True,,,,,True,1145,fetched
graphite,Graphite,proxy,yfinance_futures,LIT,USD,etf_share,2,True,lithium,etf,LIT,Global X Lithium & Battery Tech ETF,True,1142,fetched
lead,Lead,direct,fred_series,PLEADUSDM,USD,metric ton,30,True,,,,,True,1168,fetched
lithium,Lithium,proxy,yfinance_futures,LIT,USD,etf_share,1,True,,etf,LIT,Global X Lithium & Battery Tech ETF,True,1142,fetched
manganese,Manganese,proxy,yfinance_futures,S32.AX,AUD,equity_proxy,1,True,south32_producer_equity,producer_equity,S32.AX,South32 Ltd,True,1151,fetched
neodymium,Neodymium,proxy,yfinance_futures,REMX,USD,etf_share,1,True,,etf,REMX,VanEck Rare Earth/Strategic Metals ETF,True,1142,fetched
nickel,Nickel,direct,yfinance_futures,NIY=F,USD,metric ton,1,True,,,,,True,1144,fetched
palladium,Palladium,direct,yfinance_futures,PA=F,USD,oz,1,True,,,,,True,1143,fetched
platinum,Platinum,direct,yfinance_futures,PL=F,USD,oz,1,True,,,,,True,1144,fetched
silicon,Silicon,proxy,yfinance_futures,GSM,USD,equity_proxy,1,True,ferroglobe_producer_equity,producer_equity,GSM,Ferroglobe PLC,True,1142,fetched
silver,Silver,direct,yfinance_futures,SI=F,USD,oz,1,True,,,,,True,1144,fetched
tantalum,Tantalum,proxy,yfinance_futures,AMG.AS,EUR,equity_proxy,1,True,amg_producer_equity,producer_equity,AMG.AS,AMG Critical Materials N.V.,True,1165,fetched
tin,Tin,direct,fred_series,PTINUSDM,USD,metric ton,30,True,,,,,True,1168,fetched
