mineral_id,mineral_name,usgs_section_name,category,is_critical_mineral_2025,notes
abrasives_manufactured,Abrasives (Manufactured),Abrasives (Manufactured),industrial_mineral,False,
aluminum,Aluminum,Aluminum,metal,False,
antimony,Antimony,Antimony,metal,False,
arsenic,Arsenic,Arsenic,metal,False,
asbestos,Asbestos,Asbestos,metal,False,
barite,Barite,Barite,metal,False,
bauxite_and_alumina,Bauxite and Alumina,Bauxite and Alumina,metal,False,
beryllium,Beryllium,Beryllium,metal,False,
bismuth,Bismuth,Bismuth,metal,False,
boron,Boron,Boron,industrial_mineral,False,
bromine,Bromine,Bromine,metal,False,
cadmium,Cadmium,Cadmium,metal,False,
cement,Cement,Cement,industrial_mineral,False,
cesium,Cesium,Cesium,metal,False,
chromium,Chromium,Chromium,metal,False,
clays,Clays,Clays,industrial_mineral,False,
cobalt,Cobalt,Cobalt,metal,False,
copper,Copper,Copper,metal,False,
diamond_industrial,Diamond (Industrial),Diamond (Industrial),metal,False,
diatomite,Diatomite,Diatomite,metal,False,
feldspar_and_nepheline_syenite,Feldspar and Nepheline Syenite,Feldspar and Nepheline Syenite,industrial_mineral,False,
fluorspar,Fluorspar,Fluorspar,industrial_mineral,False,
gallium,Gallium,Gallium,metal,False,
garnet_industrial,Garnet (Industrial),Garnet (Industrial),metal,False,
gemstones,Gemstones,Gemstones,industrial_mineral,False,
germanium,Germanium,Germanium,metal,False,
gold,Gold,Gold,metal,False,
graphite_natural,Graphite (Natural),Graphite (Natural),metal,False,
gypsum,Gypsum,Gypsum,industrial_mineral,False,
helium_and_rare_gases,Helium and Rare Gases,Helium and Rare Gases,industrial_mineral,False,
indium,Indium,Indium,metal,False,
iodine,Iodine,Iodine,metal,False,
iron_and_steel,Iron and Steel,Iron and Steel,metal,False,
iron_and_steel_scrap,Iron and Steel Scrap,Iron and Steel Scrap,metal,False,
iron_and_steel_slag,Iron and Steel Slag,Iron and Steel Slag,metal,False,
iron_ore,Iron Ore,Iron Ore,metal,False,
iron_oxide_pigments,Iron Oxide Pigments,Iron Oxide Pigments,metal,False,
kyanite_and_related_minerals,Kyanite and Related Minerals,Kyanite and Related Minerals,metal,False,
lead,Lead,Lead,metal,False,
lime,Lime,Lime,industrial_mineral,False,
lithium,Lithium,Lithium,metal,False,
magnesium_compounds,Magnesium Compounds,Magnesium Compounds,metal,False,
magnesium_metal,Magnesium Metal,Magnesium Metal,metal,False,
manganese,Manganese,Manganese,metal,False,
mercury,Mercury,Mercury,metal,False,
mica_natural,Mica (Natural),Mica (Natural),industrial_mineral,False,
molybdenum,Molybdenum,Molybdenum,metal,False,
nickel,Nickel,Nickel,metal,False,
niobium_columbium,Niobium (Columbium),Niobium (Columbium),metal,False,
nitrogen_fixed_ammonia,Nitrogen (Fixed)—Ammonia,Nitrogen (Fixed)—Ammonia,metal,False,
peat,Peat,Peat,industrial_mineral,False,
perlite,Perlite,Perlite,industrial_mineral,False,
phosphate_rock,Phosphate Rock,Phosphate Rock,industrial_mineral,False,
platinum_group_metals,Platinum-Group Metals,Platinum-Group Metals,metal,False,
potash,Potash,Potash,industrial_mineral,False,
pumice_and_pumicite,Pumice and Pumicite,Pumice and Pumicite,industrial_mineral,False,
quartz_high_purity_and_industrial_crystal,Quartz (High-Purity and Industrial Crystal),Quartz (High-Purity and Industrial Crystal),metal,False,
rare_earths,Rare Earths,Rare Earths,rare_earth,False,
rare_earths_heavy,Rare Earths (Heavy),Rare Earths (Heavy),rare_earth,False,
rhenium,Rhenium,Rhenium,metal,False,
rubidium,Rubidium,Rubidium,metal,False,
salt,Salt,Salt,industrial_mineral,False,
sand_and_gravel_construction,Sand and Gravel (Construction),Sand and Gravel (Construction),industrial_mineral,False,
sand_and_gravel_industrial,Sand and Gravel (Industrial),Sand and Gravel (Industrial),industrial_mineral,False,
scandium,Scandium,Scandium,metal,False,
selenium,Selenium,Selenium,metal,False,
silicon,Silicon,Silicon,metal,False,
silver,Silver,Silver,metal,False,
soda_ash,Soda Ash,Soda Ash,industrial_mineral,False,
stone_crushed,Stone (Crushed),Stone (Crushed),industrial_mineral,False,
stone_dimension,Stone (Dimension),Stone (Dimension),industrial_mineral,False,
strontium,Strontium,Strontium,metal,False,
sulfur,Sulfur,Sulfur,industrial_mineral,False,
talc_and_pyrophyllite,Talc and Pyrophyllite,Talc and Pyrophyllite,industrial_mineral,False,
tantalum,Tantalum,Tantalum,metal,False,
tellurium,Tellurium,Tellurium,metal,False,
thallium,Thallium,Thallium,metal,False,
thorium,Thorium,Thorium,metal,False,
tin,Tin,Tin,metal,False,
titanium_and_titanium_dioxide,Titanium and Titanium Dioxide,Titanium and Titanium Dioxide,metal,False,
titanium_mineral_concentrates,Titanium Mineral Concentrates,Titanium Mineral Concentrates,metal,False,
tungsten,Tungsten,Tungsten,metal,False,
vanadium,Vanadium,Vanadium,metal,False,
vermiculite,Vermiculite,Vermiculite,industrial_mineral,False,
wollastonite,Wollastonite,Wollastonite,metal,False,
yttrium,Yttrium,Yttrium,metal,False,
zeolites_natural,Zeolites (Natural),Zeolites (Natural),industrial_mineral,False,
zinc,Zinc,Zinc,metal,False,
zirconium_and_hafnium,Zirconium and Hafnium,Zirconium and Hafnium,metal,False,
