model_version,model_id,entity_id,target_id,period_type,target_year,period_label,target_period_start,target_period_end,forecast_origin,information_cutoff,target_volume_mn,anchor_year,anchor_period_type,anchor_release_date,anchor_actual_status,anchor_volume_mn,anchor_actual_value_hkdm,anchor_yield_hkd_per_passenger,fam_factor,predicted_value_hkdm,actual_value_hkdm,error_hkdm,error_pct,absolute_error_pct,actual_status,actual_available_at,actual_source_url,actual_definition,evaluation_status,pit_grade,model_applied,has_prediction,has_actual,chronological_training_periods,input_bundle_id,source_snapshot,source_snapshot_sha256,source_caveat
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2000,2000 H1,2000-01-01,2000-06-30,2000-06-30,2000-06-30,380.886,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2000,2000 H2,2000-07-01,2000-12-31,2000-12-31,2000-12-31,396.87999999999994,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2001,2001 H1,2001-01-01,2001-06-30,2001-06-30,2001-06-30,374.17799999999994,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2001,2001 H2,2001-07-01,2001-12-31,2001-12-31,2001-12-31,393.268,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2002,2002 H1,2002-01-01,2002-06-30,2002-06-30,2002-06-30,375.49199999999996,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2002,2002 H2,2002-07-01,2002-12-31,2002-12-31,2002-12-31,410.174,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2003,2003 H1,2003-01-01,2003-06-30,2003-06-30,2003-06-30,363.125,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2003,2003 H2,2003-07-01,2003-12-31,2003-12-31,2003-12-31,414.141,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2004,2004 H1,2004-01-01,2004-06-30,2004-06-30,2004-06-30,407.42100000000005,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2004,2004 H2,2004-07-01,2004-12-31,2004-12-31,2004-12-31,434.141,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
