model_version,model_id,entity_id,target_id,month,forecast_origin,information_cutoff,target_volume_mn,predicted_value_hkdm,anchor_period_type,anchor_year,anchor_release_date,fam_factor,evaluation_status,pit_grade,has_actual,monthly_actual_available,source_caveat,input_bundle_id,source_snapshot,latest_snapshot_month
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2018-01,2018-01-31,2018-01-31,173.648,1644.6454324544552,H1,2017,2017-08-10,1.0314,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2018-02,2018-02-28,2018-02-28,153.118,1450.202820225751,H1,2017,2017-08-10,1.0314,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2018-03,2018-03-31,2018-03-31,173.666,1644.8159130691708,H1,2017,2017-08-10,1.0314,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2018-04,2018-04-30,2018-04-30,163.314,1546.7706173170257,H1,2017,2017-08-10,1.0314,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2018-05,2018-05-31,2018-05-31,170.082,1610.87132845019,H1,2017,2017-08-10,1.0314,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2018-06,2018-06-30,2018-06-30,164.016,1553.4193612909442,H1,2017,2017-08-10,1.0314,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2019-01,2019-01-31,2019-01-31,182.208,1759.5177396386607,H1,2018,2018-08-09,1.033,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2019-02,2019-02-28,2019-02-28,155.003,1496.8087471308138,H1,2018,2018-08-09,1.033,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2019-03,2019-03-31,2019-03-31,177.766,1716.622928217236,H1,2018,2018-08-09,1.033,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2019-04,2019-04-30,2019-04-30,164.142,1585.0608141232497,H1,2018,2018-08-09,1.033,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2019-05,2019-05-31,2019-05-31,175.616,1695.8611442109188,H1,2018,2018-08-09,1.033,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2019-06,2019-06-30,2019-06-30,167.688,1619.3032727680877,H1,2018,2018-08-09,1.033,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2020-01,2020-01-31,2020-01-31,140.234,1466.224312246497,H1,2019,2019-08-08,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2020-02,2020-02-29,2020-02-29,81.359,850.6535064254227,H1,2019,2019-08-08,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2020-03,2020-03-31,2020-03-31,95.352,996.9580887753896,H1,2019,2019-08-08,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2020-04,2020-04-30,2020-04-30,85.109,889.8618380063829,H1,2019,2019-08-08,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2020-05,2020-05-31,2020-05-31,110.06,1150.7383930134592,H1,2019,2019-08-08,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2020-06,2020-06-30,2020-06-30,125.113,1308.1258637569774,H1,2019,2019-08-08,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2020-07,2020-07-31,2020-07-31,103.931,1082.4652815215074,FY,2019,2020-03-05,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2020-08,2020-08-31,2020-08-31,89.631,933.5274908165441,FY,2019,2020-03-05,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2020-09,2020-09-30,2020-09-30,114.602,1193.606202123792,FY,2019,2020-03-05,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2020-10,2020-10-31,2020-10-31,129.346,1347.1683550016926,FY,2019,2020-03-05,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2020-11,2020-11-30,2020-11-30,130.063,1354.636074997179,FY,2019,2020-03-05,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2020-12,2020-12-31,2020-12-31,106.029,1104.3164343116482,FY,2019,2020-03-05,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2021-01,2021-01-31,2021-01-31,106.214,1019.8697192586002,H1,2020,2020-08-06,0.9815,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2021-02,2021-02-28,2021-02-28,103.999,998.6012289639326,H1,2020,2020-08-06,0.9815,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2021-03,2021-03-31,2021-03-31,130.127,1249.4829961960181,H1,2020,2020-08-06,0.9815,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2021-04,2021-04-30,2021-04-30,126.313,1212.8608643748616,H1,2020,2020-08-06,0.9815,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2021-05,2021-05-31,2021-05-31,134.533,1291.7895281320468,H1,2020,2020-08-06,0.9815,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2021-06,2021-06-30,2021-06-30,134.728,1293.6619234401555,H1,2020,2020-08-06,0.9815,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2021-07,2021-07-31,2021-07-31,142.758,1271.585812025825,FY,2020,2021-03-11,0.9815,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2021-08,2021-08-31,2021-08-31,144.741,1289.2489529023237,FY,2020,2021-03-11,0.9815,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2021-09,2021-09-30,2021-09-30,147.621,1314.9019260361192,FY,2020,2021-03-11,0.9815,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2021-10,2021-10-31,2021-10-31,142.038,1265.172568742376,FY,2020,2021-03-11,0.9815,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2021-11,2021-11-30,2021-11-30,149.333,1330.1511933989864,FY,2020,2021-03-11,0.9815,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2021-12,2021-12-31,2021-12-31,153.932,1371.1157848720159,FY,2020,2021-03-11,0.9815,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2022-01,2022-01-31,2022-01-31,125.269,1022.0149039154031,H1,2021,2021-08-12,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2022-02,2022-02-28,2022-02-28,71.85,586.192680122949,H1,2021,2021-08-12,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2022-03,2022-03-31,2022-03-31,74.539,608.1310533567781,H1,2021,2021-08-12,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2022-04,2022-04-30,2022-04-30,103.41,843.6768970287288,H1,2021,2021-08-12,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2022-05,2022-05-31,2022-05-31,135.988,1109.4665300565011,H1,2021,2021-08-12,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2022-06,2022-06-30,2022-06-30,138.372,1128.9165418785349,H1,2021,2021-08-12,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2022-07,2022-07-31,2022-07-31,139.764,1139.4098062470885,FY,2021,2022-03-10,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2022-08,2022-08-31,2022-08-31,143.729,1171.7340090587545,FY,2021,2022-03-10,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2022-09,2022-09-30,2022-09-30,144.565,1178.549402135817,FY,2021,2022-03-10,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2022-10,2022-10-31,2022-10-31,149.713,1220.5178752945703,FY,2021,2022-03-10,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2022-11,2022-11-30,2022-11-30,144.303,1176.4134775111872,FY,2021,2022-03-10,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2022-12,2022-12-31,2022-12-31,146.564,1194.8460178786972,FY,2021,2022-03-10,1.0,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2023-01,2023-01-31,2023-01-31,144.203,1320.8960427252905,H1,2022,2022-08-11,1.023,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
mtr_walk_forward_oos_v1,mtr_prior_yield_fam_walk_forward_v1,MTR,transport_operations_revenue_monthly_nowcast,2023-02,2023-02-28,2023-02-28,147.384,1350.0339269018273,H1,2022,2022-08-11,1.023,forecast_only_no_monthly_official_actual,B_practical_pit,False,False,MTR_does_not_publish_monthly_transport_operations_revenue; patronage_vintage_not_captured,mtr_walk_forward_oos_v1-de0096e4d17e73a6,data/raw/hk_transport/mtr_patronage_20260812_223726.json,2026-06
