date,lanthanum_oxide,cerium_oxide,praseodymium_oxide,neodymium_oxide,samarium_oxide,europium_oxide,gadolinium_oxide,terbium_oxide,dysprosium_oxide,holmium_oxide,erbium_oxide,yttrium_oxide,source,title,url,table_image_local,trend_image_local
2026-06-04,,,,,,,,855000.0,,535000.0,855000.0,,chinatungsten,"Rare Earth Market - June 4, 2026",http://news.chinatungsten.com/en/tungsten-news/rare-earth-news/175081-tpn-3214.html,,
2026-06-10,,,,697000.0,,,,,,,697000.0,,chinatungsten,"Rare Earth Market - June 10, 2026",http://news.chinatungsten.com/en/tungsten-news/rare-earth-news/175105-tpn-3218.html,,
2026-06-15,,,,700000.0,,,,,,,,,chinatungsten,"Rare Earth Market - June 15, 2026",http://news.chinatungsten.com/en/tungsten-news/rare-earth-news/175123-tpn-3221.html,,
2026-06-16,,,,705000.0,,,225000.0,,,565000.0,,,chinatungsten,"Rare Earth Market - June 16, 2026",http://news.chinatungsten.com/en/tungsten-news/rare-earth-news/175134-tpn-3223.html,,
2026-06-22,,,,718000.0,,,,,1430000.0,,467000.0,,chinatungsten,"Rare Earth Market - June 22, 2026",http://news.chinatungsten.com/en/tungsten-news/rare-earth-news/175149-tpn-3226.html,,
2026-06-23,,,,718000.0,,,,,1430000.0,,467000.0,,chinatungsten,"Rare Earth Market - June 23, 2026",http://news.chinatungsten.com/en/tungsten-news/rare-earth-news/175158-tpn-3227.html,,
2026-06-24,,,820000.0,,,,230000.0,,,,475000.0,,chinatungsten,"Rare Earth Market - June 24, 2026",http://news.chinatungsten.com/en/tungsten-news/rare-earth-news/175164-tpn-3228.html,,
2026-06-25,,,820000.0,,,,230000.0,,,567000.0,,,chinatungsten,"Rare Earth Market - June 25, 2026",http://news.chinatungsten.com/en/tungsten-news/rare-earth-news/175168-tpn-3229.html,,
2026-06-29,,,,800000.0,,,,,,,800000.0,,chinatungsten,"Rare Earth Market - June 29, 2026",http://news.chinatungsten.com/en/tungsten-news/rare-earth-news/175186-tpn-3232.html,,
2026-07-01,,,805000.0,,,,225000.0,,,565000.0,,,chinatungsten,"Rare Earth Market - July 1, 2026",http://news.chinatungsten.com/en/tungsten-news/rare-earth-news/175184-tpn-3233.html,,
