mineral_name,normalized_mineral_id,ticker_raw,ticker_normalized,market,exposure_purity,mapping_note,is_primary_exposure,importance_rank,importance_tier
Aluminum,aluminum,000807.SZ,000807.SZ,CN_A,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,000933.SZ,000933.SZ,CN_A,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,601600.SH,601600.SH,CN_A,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,1378.HK,1378.HK,HK,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,2600.HK,2600.HK,HK,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,AA,AA,US,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,CENX,CENX,US,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Aluminum,aluminum,KALU,KALU,US,Primary for smelters/alumina; downstream for rollers/fabricators,Separate bauxite/alumina/smelting from fabricated aluminum exposure.,False,31,Tier 3 - high
Antimony,antimony,002155.SZ,002155.SZ,CN_A,Primary for UAMY/Hunan Gold; byproduct for others,"China/HK exposure is stronger than US except UAMY, which is small-cap/high beta.",False,16,Tier 2 - very high
Antimony,antimony,600497.SH,600497.SH,CN_A,Primary for UAMY/Hunan Gold; byproduct for others,"China/HK exposure is stronger than US except UAMY, which is small-cap/high beta.",False,16,Tier 2 - very high
Antimony,antimony,601020.SH,601020.SH,CN_A,Primary for UAMY/Hunan Gold; byproduct for others,"China/HK exposure is stronger than US except UAMY, which is small-cap/high beta.",False,16,Tier 2 - very high
Antimony,antimony,UAMY,UAMY,US,Primary for UAMY/Hunan Gold; byproduct for others,"China/HK exposure is stronger than US except UAMY, which is small-cap/high beta.",True,16,Tier 2 - very high
Arsenic,arsenic,002428.SZ,002428.SZ,CN_A,Adjacent,Treat as semiconductor-material adjacency rather than a clean arsenic commodity equity.,False,7,Tier 1 - highest
Arsenic,arsenic,AXT,AXT,US,Adjacent,Treat as semiconductor-material adjacency rather than a clean arsenic commodity equity.,False,7,Tier 1 - highest
Arsenic,arsenic,AXTI,AXTI,US,Adjacent,Treat as semiconductor-material adjacency rather than a clean arsenic commodity equity.,False,7,Tier 1 - highest
Arsenic,arsenic,COHR,COHR,US,Adjacent,Treat as semiconductor-material adjacency rather than a clean arsenic commodity equity.,False,7,Tier 1 - highest
Barite,barite,600367.SH,600367.SH,CN_A,Weak/adjacent,Barite is mostly an oilfield drilling-fluid mineral; public equity supply exposure is limited.,False,36,Tier 3 - high
Barite,barite,HAL,HAL,US,Weak/adjacent,Barite is mostly an oilfield drilling-fluid mineral; public equity supply exposure is limited.,False,36,Tier 3 - high
Barite,barite,SLB,SLB,US,Weak/adjacent,Barite is mostly an oilfield drilling-fluid mineral; public equity supply exposure is limited.,False,36,Tier 3 - high
