registry_version,doc_id,path,topic_key,classification,canonical_path,reason
asia_backtest_registry_v2,airline-2023-error-autopsy,docs/asia-markets/airline-2023-error-autopsy.md,airline-2023-error-autopsy,unclassified,docs/asia-markets/airline-2023-error-autopsy.md,Requires later topic-level review.
asia_backtest_registry_v2,airline-backtest-audit-and-improvements,docs/asia-markets/airline-backtest-audit-and-improvements.md,airline-backtest-audit-and-improvements,canonical,docs/asia-markets/airline-backtest-audit-and-improvements.md,Explicitly selected canonical backtest/reference document.
asia_backtest_registry_v2,airline-capacity-pipeline,docs/asia-markets/airline-capacity-pipeline.md,airline-capacity-pipeline,unclassified,docs/asia-markets/airline-capacity-pipeline.md,Requires later topic-level review.
asia_backtest_registry_v2,airline-cask-driver-model,docs/asia-markets/airline-cask-driver-model.md,airline-cask-driver-model,unclassified,docs/asia-markets/airline-cask-driver-model.md,Requires later topic-level review.
asia_backtest_registry_v2,airline-catalyst-calendar,docs/asia-markets/airline-catalyst-calendar.md,airline-catalyst-calendar,unclassified,docs/asia-markets/airline-catalyst-calendar.md,Requires later topic-level review.
asia_backtest_registry_v2,airline-catalyst-underwriting,docs/asia-markets/airline-catalyst-underwriting.md,airline-catalyst-underwriting,unclassified,docs/asia-markets/airline-catalyst-underwriting.md,Requires later topic-level review.
asia_backtest_registry_v2,airline-consensus-reverse,docs/asia-markets/airline-consensus-reverse.md,airline-consensus-reverse,unclassified,docs/asia-markets/airline-consensus-reverse.md,Requires later topic-level review.
asia_backtest_registry_v2,airline-consensus-reverse-v2,docs/asia-markets/airline-consensus-reverse-v2.md,airline-consensus-reverse-v2,unclassified,docs/asia-markets/airline-consensus-reverse-v2.md,Requires later topic-level review.
asia_backtest_registry_v2,airline-cost-engine-v2,docs/asia-markets/airline-cost-engine-v2.md,airline-cost-engine-v2,canonical,docs/asia-markets/airline-cost-engine-v2.md,Explicitly selected canonical backtest/reference document.
asia_backtest_registry_v2,airline-decision-eval,docs/asia-markets/airline-decision-eval.md,airline-decision-eval,unclassified,docs/asia-markets/airline-decision-eval.md,Requires later topic-level review.
asia_backtest_registry_v2,airline-earnings-model-v4,docs/asia-markets/airline-earnings-model-v4.md,airline-earnings-model-v4,canonical,docs/asia-markets/airline-earnings-model-v4.md,Explicitly selected canonical backtest/reference document.
asia_backtest_registry_v2,airline-earnings-model-v4-live,docs/asia-markets/airline-earnings-model-v4-live.md,airline-earnings-model-v4-live,unclassified,docs/asia-markets/airline-earnings-model-v4-live.md,Requires later topic-level review.
asia_backtest_registry_v2,airline-earnings-sensitivity,docs/asia-markets/airline-earnings-sensitivity.md,airline-earnings-sensitivity,unclassified,docs/asia-markets/airline-earnings-sensitivity.md,Requires later topic-level review.
asia_backtest_registry_v2,airline-free-data-source-research,docs/asia-markets/airline-free-data-source-research.md,airline-free-data-source-research,unclassified,docs/asia-markets/airline-free-data-source-research.md,Requires later topic-level review.
asia_backtest_registry_v2,airline-history-backtest-view,docs/asia-markets/airline-history-backtest-view.md,airline-history-backtest-view,canonical,docs/asia-markets/airline-history-backtest-view.md,Explicitly selected canonical backtest/reference document.
asia_backtest_registry_v2,airline-long-short-underwriting,docs/asia-markets/airline-long-short-underwriting.md,airline-long-short-underwriting,unclassified,docs/asia-markets/airline-long-short-underwriting.md,Requires later topic-level review.
asia_backtest_registry_v2,airline-pair-spread-model,docs/asia-markets/airline-pair-spread-model.md,airline-pair-spread-model,unclassified,docs/asia-markets/airline-pair-spread-model.md,Requires later topic-level review.
asia_backtest_registry_v2,airline-pair-thesis-review 2,docs/asia-markets/airline-pair-thesis-review 2.md,airline-pair-thesis-review,numbered_copy,docs/asia-markets/airline-pair-thesis-review.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
