stock_code,listed_company_en,listed_company_zh,subsidiary_spv_name,project_name_en,project_name_zh,project_aliases,district,asset_type,ownership_pct,source_document,last_verified_date,effective_from,effective_to
0016,Sun Hung Kai Properties,新鴻基地產,Sun Hung Kai Real Estate Agency Ltd,YOHO WEST,YOHO WEST,YOHO WEST Phase 1|天水圍YOHO|天水圍市地段,Tin Shui Wai,residential_dev,100.0,SHKP Annual Report 2024/25,2026-07-23,2023-01-01,
0016,Sun Hung Kai Properties,新鴻基地產,Sun Hung Kai Real Estate Agency Ltd,NOVO LAND,NOVO LAND,NOVO LAND Phase 1A|屯門NOVO|屯門市地段,Tuen Mun,residential_dev,100.0,SHKP Annual Report 2024/25,2026-07-23,2022-01-01,
0016,Sun Hung Kai Properties,新鴻基地產,Sun Hung Kai Real Estate Agency Ltd,PARK YOHO NAPOLI,PARK YOHO NAPOLI,PARK YOHO NAPOLI|PARK YOHO|PARK VISTA DEVELOPMENT|峻巒,Tam Mei,residential_dev,100.0,SHKP Annual Report 2015/16; official SHKP PARK YOHO materials,2026-08-01,2018-01-01,
0016,Sun Hung Kai Properties,新鴻基地產,Sun Hung Kai Real Estate Agency Ltd,Towneria,帝景灣,帝景灣|Towneria,Tseung Kwan O,residential_dev,100.0,SHKP Annual Report 2024/25,2026-07-23,2020-01-01,
0016,Sun Hung Kai Properties,新鴻基地產,Sun Hung Kai Real Estate Agency Ltd,International Finance Centre,國際金融中心,IFC|中環IFC|国金融中心|Finance Street,Central,office_investment,50.0,SHKP Annual Report 2024/25,2026-07-23,1998-01-01,
0012,Henderson Land,恒基兆業地產,Henderson Real Estate Agency Ltd,The Henley,The Henley,The Henley I|啟德The Henley|Kai Tak Area 1I,Kai Tak,residential_dev,100.0,Henderson Annual Report 2024,2026-07-23,2021-01-01,
0012,Henderson Land,恒基兆業地產,Henderson Real Estate Agency Ltd,ONE INNOVALE,ONE INNOVALE,ONE INNOVALE Archway|粉嶺ONE INNOVALE|Fanling Sheung Shui Town Lot,Fanling,residential_dev,100.0,Henderson Annual Report 2024,2026-07-23,2022-01-01,
0012,Henderson Land,恒基兆業地產,Henderson Real Estate Agency Ltd,The Henderson,The Henderson,美利道The Henderson|Murray Road|2 Murray Road,Central,office_investment,100.0,Henderson Annual Report 2024,2026-07-23,2024-01-01,
0017,New World Development,新世界發展,New World Development Co Ltd,PAVILIA FARM,柏傲莊,柏傲莊 I|大圍柏傲莊|Pavilia Farm|Tai Wai Station,Tai Wai,residential_dev,50.0,NWD Annual Report 2024,2026-07-23,2020-01-01,
0017,New World Development,新世界發展,New World Development Co Ltd,K11 MUSEA,K11 MUSEA,K11 MUSEA|尖沙咀K11|Victoria Dockside|Salisbury Road,Tsim Sha Tsui,retail_mall,100.0,NWD Annual Report 2024,2026-07-23,2019-01-01,
0083,Sino Land,信和置業,Sino Land Co Ltd,Grand Victoria,維港滙,維港滙 I|西南九龍維港滙|Grand Victoria|Off Hing Wah Street West,South Kowloon,residential_dev,22.5,Sino Land Annual Report 2024,2026-07-23,2021-01-01,
0083,Sino Land,信和置業,Sino Land Co Ltd,ONE ST. ANDREWS,One St. Andrews,One St. Andrews|信和觀塘,Kwun Tong,residential_dev,100.0,Sino Land Annual Report 2024,2026-07-23,2023-01-01,
0066,MTR Corporation,香港鐵路,MTR Corporation Ltd,The Southside,The Southside,黃竹坑The Southside|港島南岸|Wong Chuk Hang Station,Wong Chuk Hang,residential_dev,100.0,MTR Annual Report 2024,2026-07-23,2021-01-01,
1972,Swire Properties,太古地產,Swire Properties Ltd,Taikoo Place,太古坊,太古坊|Taikoo Place|One Taikoo Place|Quarry Bay,Quarry Bay,office_investment,100.0,Swire Properties Annual Report 2024,2026-07-23,2018-01-01,
1972,Swire Properties,太古地產,Swire Properties Ltd,Pacific Place,太古廣場,太古廣場|Pacific Place|PP|Queensway,Admiralty,office_investment,100.0,Swire Properties Annual Report 2024,2026-07-23,1988-01-01,
1997,Wharf REIC,九龍倉置業,Wharf Real Estate Investment Co Ltd,Harbour City,海港城,海港城|Harbour City|TSD Harbour City|Canton Road,Tsim Sha Tsui,retail_mall,100.0,Wharf REIC Annual Report 2024,2026-07-23,1980-01-01,
1997,Wharf REIC,九龍倉置業,Wharf Real Estate Investment Co Ltd,Times Square,時代廣場,銅鑼灣時代廣場|Times Square|Matheson Street,Causeway Bay,retail_mall,100.0,Wharf REIC Annual Report 2024,2026-07-23,1994-01-01,
0823,Link REIT,領展房產基金,Link Asset Management Ltd,Lok Fu Place,樂富廣場,樂富廣場|Lok Fu Plaza|Lok Fu|Un Chau Street,Wang Tau Hom,retail_mall,100.0,Link REIT Annual Report 2024,2026-07-23,2005-01-01,
