evidence_id,srpe_development_id,lot_no,memorial_no,instrument_type,instrument_date,registered_owner,owner_capacity,registered_share,consideration_hkd,source_url,source_document,source_order_reference,date_semantics,phase_match_status,legal_interest_type,ownership_pct,effective_from,effective_to,caveat
iris-pilot:9366,9366,NKIL 6568,,,,,,,,,,,land_registry_instrument_date,not_evaluated,registered_title,,,,
iris-pilot:11005,11005,NKIL 6568,,,,,,,,,,,land_registry_instrument_date,not_evaluated,registered_title,,,,
iris-pilot:9785,9785,NKIL 6551,,,,,,,,,,,land_registry_instrument_date,not_evaluated,registered_title,,,,
iris-pilot:10405,10405,NKIL 6551,,,,,,,,,,,land_registry_instrument_date,not_evaluated,registered_title,,,,
iris-pilot:11516,11516,NKIL 6551,,,,,,,,,,,land_registry_instrument_date,not_evaluated,registered_title,,,,
iris-pilot:11554,11554,Lot 1071 in DD 103,,,,,,,,,,,land_registry_instrument_date,not_evaluated,registered_title,,,,
iris-pilot:11505,11505,TWTL 160,,,,,,,,,,,land_registry_instrument_date,not_evaluated,registered_title,,,,
iris-pilot:11305,11305,TPTL 253 RP,,,,,,,,,,,land_registry_instrument_date,not_evaluated,registered_title,,,,
iris-pilot:11345,11345,TPTL 253 RP,,,,,,,,,,,land_registry_instrument_date,not_evaluated,registered_title,,,,
iris-pilot:9565,9565,TSWTL 23,,,,,,,,,,,land_registry_instrument_date,not_evaluated,registered_title,,,,
iris-pilot:10585,10585,TSWTL 23,,,,,,,,,,,land_registry_instrument_date,not_evaluated,registered_title,,,,
iris-pilot:7845,7845,YLTL 510,,,,,,,,,,,land_registry_instrument_date,not_evaluated,registered_title,,,,
iris-pilot:8525,8525,YLTL 510,,,,,,,,,,,land_registry_instrument_date,not_evaluated,registered_title,,,,
