decision_id,srpe_development_id,phase_label,listed_parent,stock_code,ownership_pct,effective_from,effective_to,phase_identity_status,phase_identity_evidence_ids,economic_evidence_ids,title_chain_evidence_ids,continuity_basis,reviewer,reviewed_at,decision_status,source_urls_json,caveat
review:9366:pending,9366,Cullinan Sky Phase 1,Sun Hung Kai Properties Limited,0016,,,,not_evaluated,,,,,,,blocked_review,[],
review:11005:pending,11005,Cullinan Sky Phase 2,Sun Hung Kai Properties Limited,0016,,,,not_evaluated,,,,,,,blocked_review,[],
review:9785:pending,9785,Cullinan Harbour Phase 1,Sun Hung Kai Properties Limited,0016,,,,not_evaluated,,,,,,,blocked_review,[],
review:10405:pending,10405,Cullinan Harbour Phase 2A,Sun Hung Kai Properties Limited,0016,,,,not_evaluated,,,,,,,blocked_review,[],
review:11516:pending,11516,Cullinan Harbour Phase 2B,Sun Hung Kai Properties Limited,0016,,,,not_evaluated,,,,,,,blocked_review,[],
review:11554:pending,11554,Garden Regency,Sun Hung Kai Properties Limited,0016,,,,not_evaluated,,,,,,,blocked_review,[],
review:11505:pending,11505,Lime Spark,Sun Hung Kai Properties Limited,0016,,,,not_evaluated,,,,,,,blocked_review,[],
review:11305:pending,11305,Sierra Sea Phase 2A,Sun Hung Kai Properties Limited,0016,,,,not_evaluated,,,,,,,blocked_review,[],
review:11345:pending,11345,Sierra Sea Phase 2B,Sun Hung Kai Properties Limited,0016,,,,not_evaluated,,,,,,,blocked_review,[],
review:9565:pending,9565,YOHO WEST Phase 1,Sun Hung Kai Properties Limited,0016,,,,not_evaluated,,,,,,,blocked_review,[],
review:10585:pending,10585,YOHO WEST PARKSIDE Phase 2,Sun Hung Kai Properties Limited,0016,,,,not_evaluated,,,,,,,blocked_review,[],
review:7845:pending,7845,The YOHO Hub Phase B,Sun Hung Kai Properties Limited,0016,,,,not_evaluated,,,,,,,blocked_review,[],
review:8525:pending,8525,The YOHO Hub II Phase C,Sun Hung Kai Properties Limited,0016,,,,not_evaluated,,,,,,,blocked_review,[],
